PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,DRAFT_ROUND,DRAFT_NUMBER
12316,Keith,Gallon,Keith Gallon,PF-C,80.5,6' 8.5'',301.8,88.5,7' 4.5'',109.5,9' 1.5'',2010,-1,-1
12317,Charles,Garcia,Charles Garcia,SF,80.25,6' 8.25'',231.6,85.75,7' 1.75'',107.5,8' 11.5'',2010,-1,-1
202331,Paul,George,Paul George,SF,79.75,6' 7.75'',214.4,83.25,6' 11.25'',107,8' 11'',2010,1,10
202376,Luke,Harangody,Luke Harangody,PF,78,6' 6'',240.2,81.5,6' 9.5'',106,8' 10'',2010,2,52
202412,Manny,Harris,Manny Harris,SG,76,6' 4'',185.1,79.25,6' 7.25'',102,8' 6'',2010,-1,-1
202351,Lazar,Hayward,Lazar Hayward,SG-SF,76.5,6' 4.5'',225.8,84.75,7' 0.75'',102,8' 6'',2010,1,30
202330,Gordon,Hayward,Gordon Hayward,SF,78.75,6' 6.75'',211,79.75,6' 7.75'',103,8' 7'',2010,1,9
202333,Xavier,Henry,Xavier Henry,SG,77.25,6' 5.25'',210.2,83.25,6' 11.25'',105,8' 9'',2010,1,12
202359,Darington,Hobson,Darington Hobson,SG-SF,77.25,6' 5.25'',203.6,81.25,6' 9.25'',104.5,8' 8.5'',2010,2,37
202345,Damion,James,Damion James,SF,78.25,6' 6.25'',226.6,84.75,7' 0.75'',107,8' 11'',2010,1,24
202325,Wesley,Johnson,Wesley Johnson,SF,78.25,6' 6.25'',206.4,85,7' 1'',106,8' 10'',2010,1,4
202356,Armon,Johnson,Armon Johnson,PG-SG,74,6' 2'',195.2,80,6' 8'',99.5,8' 3.5'',2010,2,34
202346,Dominique,Jones,Dominique Jones,SG,75.25,6' 3.25'',216,81.25,6' 9.25'',101,8' 5'',2010,1,25
12330,Sylven,Landesberg,Sylven Landesberg,SG,76.75,6' 4.75'',210,81,6' 9'',100.5,8' 4.5'',2010,-1,-1
202371,Gani,Lawal,Gani Lawal,PF,79.5,6' 7.5'',233.4,84,7' 0'',107.5,8' 11.5'',2010,2,46
