BIG_BOARD,NAME,GRADE,POSITION,COLLEGE,COLLEGE_YEAR,DRAFT_YEAR
95,SamMuldrow,0,PF,South Carolina,Sr.,2011
96,AlexTyus,0,SF/PF,Florida,Sr.,2011
97,JeremyHazell,0,SG,Seton Hall,Sr.,2011
98,ClarenceJackson,0,SG,Siena,Sr.,2011
99,FerrakohnHall,0,SF/PF,Memphis,Sr.,2011
100,MarkPayne,86,PG/SG,UC Davis,Sr.,2011
1,AnthonyDavis,101,PF,Kentucky,Fr.,2012
2,AndreDrummond,99,PF/C,UConn,Fr.,2012
3,HarrisonBarnes,97,SF,North Carolina,So.,2012
4,BradleyBeal,94,SG,Florida,Fr.,2012
5,JeremyLamb,97,SG,UConn,So.,2012
6,ThomasRobinson,97,PF,Kansas,Jr.,2012
7,DamianLillard,96,PG,Weber St.,Jr.,2012
8,MichaelKidd-Gilchrist,96,SF,Kentucky,Fr.,2012
9,TerrenceRoss,96,SG/SF,Washington,So.,2012
10,AustinRivers,94,SG,Duke,Fr.,2012
11,MeyersLeonard,95,C,Illinois,So.,2012
12,TylerZeller,93,PF/C,North Carolina,Sr.,2012
13,KendallMarshall,93,PG,North Carolina,So.,2012
14,MoeHarkless,94,SF,St. Johns,Fr.,2012
15,AndrewNicholson,93,PF,St. Bonaventure,Sr.,2012
16,ArnettMoultrie,94,PF,Mississippi St.,Jr.,2012
17,DionWaiters,93,SG,Syracuse,So.,2012
18,PerryJones,94,SF/PF,Baylor,So.,2012
19,JaredSullinger,92,PF,Ohio St.,So.,2012
20,JohnHenson,94,PF,North Carolina,Jr.,2012
21,TerrenceJones,93,SF/PF,Kentucky,So.,2012
22,MarquisTeague,93,PG,Kentucky,Fr.,2012
23,RoyceWhite,94,SF,Iowa St.,So.,2012
24,JohnJenkins,92,SG,Vanderbilt,Jr.,2012
25,DoronLamb,92,SG,Kentucky,So.,2012
26,QuincyMiller,89,SF,Baylor,Fr.,2012
27,WillBarton,89,SG/SF,Memphis,So.,2012
28,KhrisMiddleton,90,SG/SF,Texas A&M,Jr.,2012
29,TonyWroten,92,PG/SG,Washington,Fr.,2012
