,x,y,norm_sal,norm_pie,Year
145,10.0,2,0.16800448011946986,0.5794871794871795,1996
148,37.0,5,0.1866716445771887,0.5794871794871795,1996
154,18.0,2,0.09258913571028561,0.09230769230769231,1996
155,9.0,2,0.11946985252940079,0.26666666666666666,1996
157,15.0,2,0.1272167257793541,0.558974358974359,1996
158,43.0,1,0.023100616016427104,0.46153846153846156,1996
159,14.0,1,0.09408250886690311,0.38461538461538464,1996
160,10.0,0,0.11050961358969573,0.358974358974359,1996
162,23.0,3,0.15269740526414038,0.5384615384615384,1996
167,52.0,1,0.027720739219712527,0.5794871794871795,1996
171,11.0,1,0.10976292701138697,0.5948717948717949,1996
172,34.0,2,0.014271047227926078,0.558974358974359,1996
173,12.0,3,0.19507186858316222,0.5487179487179487,1996
175,22.0,1,0.06477506066828449,0.2358974358974359,1996
177,30.0,3,0.22055254806794847,0.5641025641025641,1996
178,35.0,-17,0.3735299607989546,0.6410256410256411,1996
179,1.0,2,0.4330782154190778,0.6051282051282052,1996
180,3.0,2,0.46901250700018665,1.0,1996
183,12.0,5,0.17500466679111443,0.6102564102564103,1996
186,17.0,3,0.12413664364383051,0.3384615384615384,1996
187,25.0,2,0.16800448011946986,0.48717948717948717,1996
188,28.0,1,0.05348142617136457,0.4974358974358974,1996
198,30.0,2,0.02781407504200112,0.38461538461538464,1996
199,20.0,4,0.1208698898637297,0.24102564102564103,1996
201,5.0,3,0.33694231846182565,0.4717948717948718,1996
204,13.0,2,0.1456038827702072,0.48205128205128206,1996
205,4.0,3,0.3577562068321822,0.4256410256410257,1996
206,21.0,3,0.11526974052641403,0.3794871794871795,1996
209,47.0,2,0.09333582228859436,0.36923076923076925,1996
211,20.0,1,0.06533507560201605,0.4256410256410257,1996
212,2.0,2,0.41142430464812396,0.6,1996
218,17.0,0,0.07718872503266754,0.4974358974358974,1996
219,49.0,1,0.023100616016427104,0.29743589743589743,1996
221,26.0,0,0.053014747059921596,0.41025641025641024,1996
222,3.0,1,0.2133656897517267,0.39487179487179486,1996
223,4.0,4,0.36400970692551804,0.5282051282051282,1996
224,32.0,2,0.2800074668657831,0.22564102564102567,1996
226,35.0,1,0.030800821355236138,0.2205128205128205,1996
231,1.0,1,0.26078028747433263,0.5076923076923077,1996
238,18.0,0,0.07326862049654657,0.47692307692307695,1996
240,21.0,4,0.023100616016427104,0.48717948717948717,1996
242,5.0,2,0.910024267313795,0.5948717948717949,1996
248,2.0,5,0.38967705805488145,0.7128205128205128,1996
250,8.0,0,0.12656337502333395,0.523076923076923,1996
254,5.0,1,0.15549747993279822,0.6871794871794872,1996
258,12.0,2,0.1635243606496173,0.358974358974359,1996
259,13.0,0,0.09473585962292327,0.46153846153846156,1996
260,10.0,1,0.11554974799327983,0.3333333333333333,1996
261,5.0,4,0.3074481986186298,0.5743589743589743,1996
263,7.0,2,0.2520067201792048,0.4923076923076923,1996
