,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter,norm_sal
3095,Allen Iverson,161386,2009,Shooting Guard and Point Guard,28,30.9,9.2,1.0,13,0.0443121088082469
3096,Royal Ivey,1050000,2009,Shooting Guard and Point Guard,44,7.4,6.7,37.0,5,0.0451815744203784
3097,Jarrett Jack,4500000,2009,Shooting Guard and Point Guard,82,27.4,11.0,22.0,4,0.1936353189444792
3098,Darnell Jackson,736420,2009,Power Forward,28,4.4,-2.3,52.0,1,0.0316882047949096
3099,Stephen Jackson,7650000,2009,Small Forward and Shooting Guard and Power Forward,81,38.6,10.8,42.0,12,0.3291800422056147
3100,LeBron James,15779912,2009,Shooting Guard and Small Forward and Power Forward,76,39.0,21.8,1.0,6,0.6790107317857368
3101,Antawn Jamison,11641095,2009,Power Forward and Small Forward,66,36.5,11.2,4.0,11,0.5009171429306628
3102,Nathan Jawai,736420,2009,Power Forward and Center,39,10.6,6.0,41.0,1,0.0316882047949096
3103,Al Jefferson,12000000,2009,Power Forward and Center,76,32.4,13.1,15.0,5,0.5163608505186114
3104,Richard Jefferson,14200000,2009,Small Forward,81,31.1,9.2,13.0,8,0.6110270064470233
3105,Jared Jeffries,6466600,2009,Small Forward and Power Forward,70,25.6,4.8,11.0,7,0.2782582563303043
3106,Brandon Jennings,2168520,2009,Point Guard,82,32.6,10.5,10.0,0,0.0933115692972182
3107,Jonas Jerebko,457588,2009,Power Forward,80,27.9,8.2,39.0,0,0.0196900440722591
3108,Yi Jianlian,3194400,2009,Power Forward,52,31.8,7.3,6.0,2,0.1374552584080543
3109,Amir Johnson,3666666,2009,Center and Small Forward and Power Forward,82,17.7,9.5,56.0,4,0.1577768978606395
3110,Anthony Johnson,2160000,2009,Point Guard and Shooting Guard,31,13.1,9.3,39.0,12,0.09294495309335
3111,James Johnson,1594080,2009,Power Forward and Small Forward,65,11.6,5.8,16.0,0,0.0685933753828923
3112,Joe Johnson,14976754,2009,Shooting Guard and Small Forward,76,38.0,12.6,10.0,8,0.6444507861206679
3113,Dahntay Jones,2500000,2009,Small Forward and Shooting Guard,76,24.9,6.9,20.0,6,0.1075751771913773
3114,James Jones,4320000,2009,Shooting Guard and Small Forward,36,14.0,5.7,49.0,6,0.1858899061867
3115,Solomon Jones,1620000,2009,Center and Power Forward,52,13.0,4.9,33.0,3,0.0697087148200125
3116,DeAndre Jordan,736420,2009,Center,70,16.2,7.3,35.0,1,0.0316882047949096
3117,Chris Kaman,10400000,2009,Center,76,34.3,11.8,6.0,6,0.4475127371161298
3118,Jason Kapono,6212960,2009,Small Forward and Shooting Guard,57,17.1,4.5,31.0,6,0.2673441091531759
3119,Andrei Kirilenko,16452000,2009,Small Forward and Power Forward,58,29.0,12.4,24.0,10,0.7079307260610161
3120,Kyle Korver,5155115,2009,Small Forward and Shooting Guard and Power Forward,52,18.3,10.0,51.0,6,0.2218249638267709
3121,Kosta Koufos,1214040,2009,Center,36,4.8,5.1,23.0,1,0.0522402272469679
3122,Nenad Krstic,5400000,2009,Center and Power Forward,76,22.9,8.1,24.0,7,0.2323623827333751
3123,Carl Landry,3000000,2009,Power Forward,80,30.9,12.1,31.0,2,0.1290902126296528
3124,Acie Law,2216160,2009,Point Guard,26,9.0,9.7,11.0,2,0.0953615218737771
3125,Ty Lawson,1438690,2009,Point Guard,65,20.3,11.0,18.0,0,0.061906932669385
3126,Courtney Lee,1264440,2009,Shooting Guard,71,33.5,8.0,22.0,1,0.054408942819146
3127,David Lee,7000000,2009,Power Forward and Center and Small Forward,81,37.3,15.9,30.0,4,0.3012104961358566
3128,Rashard Lewis,18876000,2009,Small Forward and Power Forward,72,32.9,9.2,32.0,11,0.8122356178657756
3129,Shaun Livingston,296695,2009,Shooting Guard and Point Guard,36,22.1,9.3,4.0,5,0.0127668068787182
3130,Brook Lopez,2225880,2009,Center,82,36.9,12.6,10.0,1,0.0957797741626972
3131,Robin Lopez,1745520,2009,Center,51,19.3,9.7,15.0,1,0.0751098493164372
3132,Kevin Love,3401040,2009,Center and Power Forward,60,28.6,14.6,5.0,1,0.1463469922539848
3133,Kyle Lowry,2034997,2009,Point Guard,68,24.3,10.8,24.0,3,0.0875660651435685
3134,Corey Maggette,8937931,2009,Power Forward and Shooting Guard and Small Forward,70,29.7,12.7,13.0,10,0.3845998044197218
3135,Jamaal Magloire,1229225,2009,Center,36,10.0,5.3,19.0,9,0.0528936388732283
3136,Ian Mahinmi,1079640,2009,Center,26,6.3,14.9,28.0,4,0.0464569857211594
3137,Shawn Marion,6635068,2009,Small Forward and Power Forward,75,31.8,9.6,9.0,10,0.2855074463107351
3138,Sean Marks,1187686,2009,Power Forward and Center,14,5.3,1.4,44.0,11,0.0511062127590872
3139,Kenyon Martin,15363636,2009,Power Forward and Center,58,34.2,9.5,1.0,9,0.6610983460015296
3140,Kevin Martin,10180170,2009,Point Guard and Shooting Guard,46,35.5,10.7,26.0,5,0.4380534366353376
3141,Desmond Mason,76850,2009,Small Forward and Shooting Guard,5,13.1,4.5,17.0,9,0.0033068609468629
3142,Jason Maxiell,5000000,2009,Center and Power Forward,76,20.4,8.1,26.0,4,0.2151503543827547
3143,Sean May,884881,2009,Power Forward and Center,37,9.0,7.4,13.0,4,0.0380764921473132
3144,Eric Maynor,1318920,2009,Shooting Guard and Point Guard,81,15.7,10.0,20.0,0,0.0567532210805005
3145,O.J. Mayo,4165560,2009,Shooting Guard,82,38.0,9.2,3.0,1,0.1792443420405255
3146,Luc Mbah a Moute,736420,2009,Small Forward and Power Forward,73,25.6,7.6,37.0,1,0.0316882047949096
3147,JaVale McGee,1496640,2009,Center,60,16.1,9.6,18.0,1,0.0644005252766812
3148,Tracy McGrady,23239562,2009,Shooting Guard and Small Forward,30,22.4,7.8,9.0,12,1.0
3149,Dominic McGuire,825497,2009,Shooting Guard and Power Forward and Small Forward,51,6.0,3.6,47.0,2,0.0355211944183801
3150,Josh McRoberts,825497,2009,Center and Power Forward,42,12.5,8.8,37.0,2,0.0355211944183801
3151,Jodie Meeks,650000,2009,Shooting Guard,60,12.0,7.3,41.0,0,0.0279695460697581
3152,Darko Milicic,7500000,2009,Power Forward and Center,32,21.4,7.7,2.0,6,0.3227255315741321
3153,Andre Miller,6730800,2009,Point Guard and Shooting Guard,82,30.5,12.4,8.0,10,0.2896268010558891
3154,Mike Miller,9750000,2009,Shooting Guard and Small Forward,54,33.4,10.9,5.0,9,0.4195431910463717
3155,Patty Mills,457588,2009,Point Guard,10,3.8,3.4,55.0,0,0.0196900440722591
3156,Paul Millsap,7692932,2009,Power Forward,82,27.8,11.1,47.0,3,0.3310274092084868
3157,Nazr Mohammed,6466600,2009,Center,58,17.0,12.5,29.0,11,0.2782582563303043
3158,Adam Morrison,5257229,2009,Small Forward and Power Forward,31,7.8,4.7,3.0,3,0.226218936484259
3159,Byron Mullens,1120200,2009,Power Forward and Center,13,4.2,-2.0,24.0,0,0.0482022853959123
3160,Troy Murphy,11047619,2009,Power Forward,72,32.6,14.7,14.0,8,0.4753798285871308
3161,Eduardo Najera,3100000,2009,Power Forward and Small Forward,46,14.9,4.3,38.0,9,0.1333932197173079
3162,Steve Nash,13125000,2009,Point Guard,81,32.8,15.5,15.0,13,0.5647696802547312
3163,Jameer Nelson,6138888,2009,Point Guard,65,28.6,11.8,20.0,5,0.264156785743208
3164,Rasho Nesterovic,1990000,2009,Center,42,9.8,8.1,17.0,11,0.0856298410443363
3165,Joakim Noah,2455680,2009,Center,64,30.1,13.3,9.0,2,0.1056680844501286
3166,Steve Novak,855189,2009,Power Forward and Small Forward,54,6.7,5.6,32.0,3,0.0367988432828467
3167,Dirk Nowitzki,19795714,2009,Power Forward and Center,81,37.5,16.1,9.0,11,0.8518109764719318
3168,Patrick O'Bryant,1620000,2009,Center,11,4.6,3.3,9.0,3,0.0697087148200125
3169,Jermaine O'Neal,23016000,2009,Power Forward and Center,70,28.4,11.9,17.0,13,0.9903801112946964
3170,Greg Oden,5361240,2009,Center,21,23.9,14.8,1.0,2,0.2306945371861999
3171,Lamar Odom,7500000,2009,Small Forward and Power Forward,82,31.5,13.1,4.0,10,0.3227255315741321
3172,Emeka Okafor,10538937,2009,Power Forward and Center,82,28.9,10.0,2.0,5,0.4534912060735052
3173,Mehmet Okur,9000000,2009,Power Forward and Center,73,29.4,10.6,37.0,8,0.3872706378889585
3174,Travis Outlaw,4000000,2009,Power Forward and Small Forward,34,21.5,9.1,23.0,6,0.1721202835062038
3175,Zaza Pachulia,4750000,2009,Center,78,14.0,7.0,42.0,6,0.204392836663617
3176,Anthony Parker,2644230,2009,Shooting Guard and Small Forward,81,28.3,6.5,21.0,12,0.1137814043139023
3177,Tony Parker,12600000,2009,Point Guard,56,30.9,11.6,28.0,8,0.5421788930445419
3178,Chris Paul,13520500,2009,Point Guard,45,38.1,16.7,4.0,4,0.581788073286407
3179,Sasha Pavlovic,1500000,2009,Small Forward and Shooting Guard,71,12.3,3.8,19.0,6,0.0645451063148264
3180,Sasha Pavlovic,1250000,2009,Small Forward and Shooting Guard,71,12.3,3.8,19.0,6,0.0645451063148264
3181,Oleksiy Pecherov,1547640,2009,Center,44,10.2,8.6,18.0,3,0.0665950588913853
3182,Kendrick Perkins,4250000,2009,Center,78,27.6,10.5,27.0,6,0.1828778012253415
3183,Morris Peterson,6212960,2009,Small Forward and Shooting Guard,46,21.1,5.2,21.0,9,0.2673441091531759
3184,Johan Petro,884881,2009,Center,36,12.1,6.9,25.0,4,0.0380764921473132
3185,Paul Pierce,19795712,2009,Shooting Guard and Small Forward,71,34.0,12.7,10.0,11,0.85181089041179
3186,Mickael Pietrus,5300000,2009,Point Guard and Small Forward and Shooting Guard,75,22.5,7.6,11.0,6,0.22805937564572
3187,James Posey,6031800,2009,Power Forward and Shooting Guard and Small Forward,77,22.5,6.7,18.0,10,0.25954878151318
3188,Leon Powe,855189,2009,Small Forward and Power Forward and Center,20,11.8,5.3,49.0,3,0.0367988432828467
3189,Tayshaun Prince,10324380,2009,Small Forward,49,34.0,11.0,23.0,7,0.444258803156445
3190,Joel Przybilla,6857725,2009,Center,30,22.7,8.7,9.0,9,0.2950883928018953
3191,Vladimir Radmanovic,6466600,2009,Small Forward and Power Forward,41,21.7,5.3,12.0,8,0.2782582563303043
3192,Anthony Randolph,1837560,2009,Power Forward and Center,33,22.7,11.3,14.0,1,0.0790703370399149
3193,Zach Randolph,16000000,2009,Power Forward and Center,81,37.7,14.1,19.0,8,0.6884811340248151
3194,Michael Redd,17040000,2009,Shooting Guard and Small Forward,18,27.3,8.6,43.0,9,0.7332324077364281
3195,Chris Richard,43319,2009,Center and Power Forward,18,12.4,3.3,41.0,2,0.0018640196403013
3196,Jason Richardson,13333333,2009,Small Forward and Shooting Guard,79,31.5,10.3,5.0,8,0.5737342640106556
3197,Quentin Richardson,9352400,2009,Shooting Guard and Small Forward,76,27.4,9.0,18.0,9,0.402434434865855
3198,Luke Ridnour,6500000,2009,Point Guard and Shooting Guard,82,21.4,12.7,14.0,6,0.2796954606975811
3199,Nate Robinson,4000000,2009,Point Guard,56,19.9,10.5,21.0,4,0.1721202835062038
3200,Sergio Rodriguez,1892035,2009,Point Guard,66,15.9,9.8,27.0,3,0.081414400150915
3201,Rajon Rondo,2094922,2009,Point Guard,81,36.6,14.3,21.0,3,0.0901446421408458
3202,Derrick Rose,5184480,2009,Point Guard,78,36.8,13.7,1.0,1,0.2230885418580608
3203,Brandon Roy,3910816,2009,Shooting Guard,65,37.2,14.3,6.0,3,0.1682826896651494
3204,Brandon Rush,1934160,2009,Shooting Guard and Small Forward,82,30.4,7.0,13.0,1,0.0832270418865897
3205,Kareem Rush,534906,2009,Shooting Guard and Point Guard,7,8.3,2.5,20.0,7,0.0230170430922923
3206,John Salmons,5456000,2009,Shooting Guard and Small Forward and Point Guard,81,34.9,10.4,26.0,7,0.2347720667024619
3207,Brian Scalabrine,3413793,2009,Power Forward and Center,52,9.1,1.7,34.0,8,0.1468957547478734
3208,Luis Scola,3375600,2009,Power Forward,82,32.6,12.8,55.0,7,0.1452523072508853
3209,Thabo Sefolosha,2759628,2009,Small Forward and Shooting Guard,82,28.6,7.1,13.0,3,0.1187469884329145
3210,Ramon Sessions,3670667,2009,Point Guard and Shooting Guard,82,21.1,9.3,56.0,2,0.1579490611742166
3211,Bobby Simmons,10560000,2009,Shooting Guard and Power Forward and Small Forward,23,17.2,5.6,41.0,8,0.454397548456378
3212,Brian Skinner,1306455,2009,Center and Power Forward,16,7.7,2.6,22.0,11,0.0562168512470243
3213,Craig Smith,2500000,2009,Power Forward,75,16.4,11.3,36.0,3,0.1075751771913773
3214,Jason Smith,1418880,2009,Center and Power Forward,56,11.8,4.8,20.0,2,0.0610545069653206
3215,Josh Smith,10800000,2009,Small Forward and Power Forward,81,35.4,13.0,17.0,5,0.4647247654667502
3216,Darius Songaila,4526000,2009,Center and Power Forward,75,18.8,6.9,49.0,7,0.1947541007872695
3217,Marreese Speights,1658280,2009,Power Forward and Center,62,16.4,9.7,16.0,1,0.0713559059331669
3218,DeShawn Stevenson,3886928,2009,Small Forward and Shooting Guard,64,13.8,2.2,23.0,9,0.1672547873320504
3219,Peja Stojakovic,13392000,2009,Small Forward,62,31.4,8.1,14.0,13,0.5762587091787702
3220,Amar'e Stoudemire,16378325,2009,Center and Power Forward,82,34.6,13.7,9.0,7,0.7047604855891862
3221,Rodney Stuckey,1805040,2009,Point Guard and Shooting Guard,73,34.2,10.5,15.0,2,0.0776709991350095
3222,DaJuan Summers,457588,2009,Power Forward and Small Forward,44,9.2,3.0,35.0,0,0.0196900440722591
3223,Jermaine Taylor,725000,2009,Shooting Guard,31,9.8,6.7,32.0,0,0.0311968013854994
3224,Jeff Teague,1373880,2009,Point Guard,71,10.1,7.7,19.0,0,0.0591181537758758
3225,Sebastian Telfair,2500000,2009,Point Guard,43,15.3,7.7,13.0,5,0.1075751771913773
3226,Jason Terry,9862500,2009,Point Guard and Shooting Guard,77,33.0,10.6,10.0,10,0.4243840740199837
3227,Hasheem Thabeet,4458840,2009,Center,68,13.0,6.4,2.0,0,0.1918642012272004
3228,Etan Thomas,7350000,2009,Power Forward and Center,23,13.9,4.6,12.0,9,0.3162710209426494
3229,Kenny Thomas,8775000,2009,Power Forward,26,12.0,5.3,22.0,10,0.3775888719417345
3230,Tim Thomas,6466600,2009,Power Forward and Small Forward,18,15.8,8.2,7.0,12,0.2782582563303043
3231,Tim Thomas,1306455,2009,Power Forward and Small Forward,18,15.8,8.2,7.0,12,0.2782582563303043
3232,Tyrus Thomas,4743598,2009,Power Forward and Center,54,22.6,12.5,4.0,3,0.2041173581498653
3233,Jason Thompson,2035920,2009,Power Forward and Center,75,31.4,9.5,12.0,1,0.0876057818989876
3234,Al Thornton,1900200,2009,Small Forward and Power Forward,75,27.7,6.9,14.0,2,0.0817657406796221
3235,Jamaal Tinsley,5200000,2009,Point Guard,38,15.5,6.2,27.0,8,0.2237563685580649
3236,Jamaal Tinsley,990300,2009,Point Guard,38,15.5,6.2,27.0,8,0.2237563685580649
3237,Alando Tucker,1071720,2009,Small Forward and Shooting Guard,15,6.4,6.8,29.0,2,0.0461161875598171
3238,Ronny Turiaf,4140000,2009,Center,42,20.8,7.8,37.0,4,0.1781444934289209
3239,Hedo Turkoglu,9000000,2009,Power Forward and Small Forward,74,30.7,8.8,16.0,9,0.3872706378889585
3240,Beno Udrih,6031800,2009,Shooting Guard and Point Guard,79,31.3,11.2,28.0,5,0.25954878151318
3241,Roko Ukic,303232,2009,Point Guard,13,7.5,7.5,41.0,4,0.0130480944520382
3242,Anderson Varejao,6300000,2009,Power Forward and Center,76,28.5,11.0,30.0,5,0.2710894465222709
3243,Charlie Villanueva,6500000,2009,Power Forward,78,23.7,10.0,7.0,4,0.2796954606975811
3244,Sasha Vujacic,5000000,2009,Point Guard and Shooting Guard,67,8.6,6.9,27.0,5,0.2151503543827547
3245,Dwyane Wade,15779912,2009,Point Guard and Shooting Guard,77,36.3,17.8,5.0,6,0.6790107317857368
3246,Henry Walker,736420,2009,Small Forward and Shooting Guard,35,22.0,8.1,47.0,1,0.0316882047949096
3247,Gerald Wallace,9075000,2009,Small Forward and Power Forward,76,41.0,14.4,25.0,8,0.3904978932046998
3248,Luke Walton,4840000,2009,Power Forward and Small Forward,29,9.4,7.2,32.0,6,0.2082655430425065
3249,Hakim Warrick,3000000,2009,Power Forward,76,20.5,10.2,19.0,4,0.1290902126296528
3250,Earl Watson,6600000,2009,Point Guard,79,29.4,7.9,39.0,8,0.2839984677852362
3251,Earl Watson,2800000,2009,Point Guard,79,29.4,7.9,39.0,8,0.2839984677852362
3252,Kyle Weaver,870968,2009,Shooting Guard,12,12.0,7.0,38.0,1,0.0374778147712078
3253,Martell Webster,4344000,2009,Small Forward,82,24.5,8.1,6.0,4,0.1869226278877373
3254,Sonny Weems,736420,2009,Shooting Guard and Small Forward,69,19.8,8.0,39.0,1,0.0316882047949096
3255,David West,9075000,2009,Small Forward and Center and Power Forward,81,36.4,12.3,18.0,6,0.3904978932046998
3256,Delonte West,4254250,2009,Point Guard and Shooting Guard,60,25.0,10.4,24.0,5,0.1830606790265668
3257,Russell Westbrook,3755640,2009,Point Guard,82,34.3,12.0,4.0,1,0.1616054553868098
3258,Chris Wilcox,3000000,2009,Center and Power Forward,34,13.0,7.2,8.0,7,0.1290902126296528
3259,Deron Williams,12323900,2009,Point Guard,76,36.9,14.6,3.0,4,0.5302982904755261
3260,Jason Williams,1306455,2009,Point Guard,82,20.8,10.0,7.0,11,0.0562168512470243
3261,Lou Williams,4972500,2009,Shooting Guard and Point Guard,64,29.9,11.7,45.0,4,0.2139670274336495
3262,Marcus Williams,855189,2009,Point Guard,62,14.1,8.4,33.0,2,0.0367988432828467
3263,Marvin Williams,7500000,2009,Power Forward and Small Forward,81,30.5,8.7,2.0,4,0.3227255315741321
3264,Mo Williams,8860000,2009,Point Guard and Shooting Guard,69,34.2,10.9,47.0,6,0.3812464279662413
3265,Sean Williams,1629120,2009,Power Forward and Center,20,11.4,1.3,17.0,2,0.0701011490664066
3266,Shelden Williams,825497,2009,Center and Power Forward,54,11.1,9.7,5.0,3,0.0355211944183801
3267,Terrence Williams,2060040,2009,Small Forward and Shooting Guard,78,22.6,9.9,11.0,0,0.08864366720853
3268,Metta World Peace,5854000,2009,Small Forward,77,33.8,7.8,16.0,10,0.2518980349113292
3269,Antoine Wright,2110550,2009,Shooting Guard and Small Forward,67,20.8,5.3,15.0,4,0.0908171160885046
3270,Dorell Wright,2750000,2009,Small Forward,72,20.8,11.3,19.0,5,0.1183326949105151
3271,Julian Wright,2000040,2009,Small Forward,68,12.8,7.2,13.0,2,0.0860618629559369
3272,Nick Young,1714800,2009,Shooting Guard,74,19.2,5.7,16.0,2,0.0737879655391095
3273,Sam Young,824200,2009,Shooting Guard and Small Forward,80,16.5,8.2,36.0,0,0.0354653844164532
3274,Thaddeus Young,2105400,2009,Power Forward,67,32.0,8.8,12.0,2,0.0905955112234903
3275,Arron Afflalo,1959577,2010,Shooting Guard and Small Forward,69,33.7,8.7,27.0,3,0.0789952935248173
3276,Maurice Ager,83305,2010,Shooting Guard,4,7.2,7.4,28.0,4,0.0033582262534643
3277,Alexis Ajinca,1467840,2010,Power Forward and Center,34,10.0,6.8,20.0,2,0.0591721844293272
3278,Solomon Alabi,770000,2010,Center,12,4.9,-0.3,50.0,0,0.0310405643738977
3279,Cole Aldrich,2126520,2010,Center,18,7.9,2.6,11.0,0,0.0857251700680272
3280,LaMarcus Aldridge,11244000,2010,Power Forward and Center,81,39.6,14.1,2.0,4,0.4532728647014361
3281,Ray Allen,10000000,2010,Shooting Guard,80,36.1,11.2,5.0,14,0.4031242126480222
3282,Tony Allen,3000000,2010,Shooting Guard and Small Forward and Point Guard,72,20.8,10.9,25.0,6,0.1209372637944066
3283,Al-Farouq Aminu,2563320,2010,Power Forward and Small Forward,81,17.9,7.0,8.0,0,0.1033336356764928
3284,David Andersen,2500000,2010,Power Forward and Center,40,9.3,8.0,36.0,8,0.1007810531620055
3285,James Anderson,1361400,2010,Small Forward and Shooting Guard,26,11.0,5.1,20.0,0,0.0548813303099017
3286,Ryan Anderson,1409040,2010,Power Forward,64,22.3,12.6,21.0,2,0.0568018140589569
3287,Carmelo Anthony,17149243,2010,Small Forward and Power Forward,77,35.7,14.3,3.0,7,0.6913275081884606
3288,Gilbert Arenas,17730694,2010,Point Guard,70,25.7,7.5,30.0,9,0.7147672058453011
3289,Trevor Ariza,6322320,2010,Small Forward and Shooting Guard,75,34.7,8.0,43.0,6,0.2548680272108843
3290,Hilton Armstrong,992680,2010,Center and Power Forward,53,9.2,5.5,12.0,4,0.0400173343411438
3291,Darrell Arthur,1123680,2010,Small Forward and Power Forward,80,20.1,9.9,27.0,2,0.0452982615268329
3292,Omer Asik,1721000,2010,Center,82,12.1,7.6,36.0,2,0.0693776769967246
3293,D.J. Augustin,2540400,2010,Point Guard,82,33.6,11.1,9.0,2,0.1024096749811035
3294,Luke Babbitt,1645440,2010,Small Forward and Power Forward,24,5.7,0.8,16.0,0,0.0663316704459561
3295,Renaldo Balkman,1675000,2010,Small Forward and Power Forward,8,7.8,2.2,20.0,4,0.0675233056185437
3296,Marcus Banks,4847586,2010,Point Guard,3,7.3,1.4,13.0,7,0.1954179289493575
3297,Leandro Barbosa,7100000,2010,Point Guard and Shooting Guard,58,24.0,9.3,28.0,7,0.2862181909800957
3298,Andrea Bargnani,8500000,2010,Power Forward and Center,66,35.7,10.0,1.0,4,0.3426555807508188
3299,Matt Barnes,1765000,2010,Small Forward and Power Forward,53,19.2,9.7,45.0,8,0.0711514235323759
3300,Brandon Bass,4000000,2010,Power Forward and Center,76,26.1,11.5,33.0,5,0.1612496850592088
3301,Tony Battie,1352181,2010,Center and Power Forward,38,9.9,7.9,5.0,13,0.0545096900982615
3302,Shane Battier,7354500,2010,Small Forward and Shooting Guard,82,29.0,8.1,6.0,9,0.2964777021919879
3303,Nicolas Batum,1196760,2010,Small Forward and Shooting Guard,80,31.5,9.3,25.0,2,0.0482442932728647
3304,Jerryd Bayless,2292600,2010,Point Guard and Shooting Guard,71,21.1,10.0,11.0,2,0.0924202569916855
3305,Michael Beasley,4962240,2010,Power Forward and Small Forward,73,32.3,9.4,2.0,2,0.2000399092970521
3306,Rodrigue Beaubois,1156080,2010,Point Guard,28,17.7,6.4,25.0,1,0.0466043839758125
3307,Marco Belinelli,2380270,2010,Shooting Guard and Small Forward,80,24.5,7.2,18.0,3,0.0959544469639707
3308,Mike Bibby,5564767,2010,Point Guard,80,28.6,7.2,2.0,12,0.2243292315444696
3309,Andris Biedrins,9000000,2010,Center,59,23.7,7.0,11.0,6,0.3628117913832199
3310,Chauncey Billups,13150000,2010,Point Guard and Shooting Guard,72,32.1,12.2,3.0,13,0.5301083396321492
3311,DeJuan Blair,918000,2010,Center and Power Forward,81,21.4,10.4,37.0,1,0.0370068027210884
3312,Steve Blake,4000000,2010,Point Guard,79,20.0,5.9,38.0,7,0.1612496850592088
3313,Andray Blatche,5900000,2010,Center and Power Forward,64,33.9,11.2,49.0,5,0.237843285462333
3314,Eric Bledsoe,1485000,2010,Point Guard,81,22.7,8.3,18.0,0,0.0598639455782312
3315,Keith Bogans,1600000,2010,Small Forward and Shooting Guard,82,17.8,5.8,43.0,7,0.0644998740236835
3316,Andrew Bogut,11000000,2010,Power Forward and Center,65,35.3,12.6,1.0,5,0.4434366339128244
3317,Matt Bonner,3000000,2010,Power Forward and Center,66,21.7,8.6,45.0,7,0.1209372637944066
3318,Trevor Booker,1204560,2010,Power Forward,65,16.4,9.6,23.0,0,0.0485587301587301
3319,Carlos Boozer,14400000,2010,Center and Power Forward,59,31.9,14.2,34.0,8,0.5804988662131519
3320,Chris Bosh,14500000,2010,Power Forward and Center,77,36.3,13.9,4.0,7,0.5845301083396321
3321,Craig Brackins,1306920,2010,Power Forward,3,10.9,-1.8,21.0,0,0.0526851095993953
3322,Avery Bradley,1418160,2010,Point Guard and Shooting Guard,31,5.2,0.5,19.0,0,0.0571694633408919
3323,Elton Brand,15959099,2010,Power Forward and Center,81,34.7,11.6,1.0,11,0.6433499218946838
3324,Corey Brewer,3703472,2010,Shooting Guard and Small Forward,69,21.9,5.8,7.0,3,0.1492959234063996
3325,Ronnie Brewer,4790000,2010,Shooting Guard and Small Forward,81,22.0,11.2,14.0,4,0.1930964978584026
3326,Jon Brockman,1000000,2010,Center and Power Forward,63,10.8,5.6,38.0,1,0.0403124212648022
3327,Aaron Brooks,2016692,2010,Point Guard,59,21.8,7.8,26.0,3,0.0812977374653565
3328,Derrick Brown,762195,2010,Small Forward,49,11.7,7.9,40.0,1,0.0307259259259259
3329,Kwame Brown,1229255,2010,Center and Power Forward,66,26.0,8.3,1.0,9,0.0495542454018644
3330,Shannon Brown,2200000,2010,Shooting Guard,82,19.1,8.8,25.0,4,0.0886873267825648
3331,Kobe Bryant,24806250,2010,Shooting Guard and Small Forward,82,33.9,15.6,13.0,14,1.0
3332,Chase Budinger,780871,2010,Small Forward,78,22.3,9.9,44.0,1,0.0314788007054673
3333,Caron Butler,10561960,2010,Small Forward and Shooting Guard,29,29.9,9.3,10.0,8,0.4257781809019904
3334,Rasual Butler,2400000,2010,Shooting Guard and Small Forward,47,16.4,4.8,52.0,8,0.0967498110355253
3335,Andrew Bynum,13700000,2010,Center,54,27.8,14.3,10.0,5,0.5522801713277904
3336,Marcus Camby,11749832,2010,Center and Power Forward,59,26.1,11.8,2.0,14,0.4736641773746535
3337,Derrick Caracter,473604,2010,Center,41,5.2,3.4,58.0,0,0.0190921239606953
3338,Brian Cardinal,1352181,2010,Power Forward and Small Forward,56,11.0,5.4,44.0,10,0.0545096900982615
3339,Rodney Carney,377116,2010,Shooting Guard and Small Forward,27,12.4,6.1,16.0,4,0.0152024590576971
3340,Rodney Carney,274756,2010,Shooting Guard and Small Forward,27,12.4,6.1,16.0,4,0.0152024590576971
3341,DeMarre Carroll,1085400,2010,Small Forward and Power Forward,12,4.2,5.7,27.0,1,0.0437551020408163
3342,Vince Carter,17300000,2010,Small Forward and Shooting Guard,73,28.1,9.2,5.0,12,0.6974048878810784
3343,Omri Casspi,1254480,2010,Small Forward and Power Forward,71,24.0,8.2,23.0,1,0.050571126228269
3344,Mario Chalmers,854389,2010,Point Guard,70,22.6,7.1,34.0,2,0.0344424892920131
3345,Tyson Chandler,12600000,2010,Center and Power Forward,74,27.8,12.0,2.0,9,0.5079365079365079
3346,Wilson Chandler,2130482,2010,Shooting Guard and Small Forward and Power Forward,72,33.3,9.4,23.0,3,0.0858848878810783
3347,Josh Childress,6500000,2010,Shooting Guard and Small Forward,54,16.6,8.1,6.0,6,0.2620307382212144
3348,Earl Clark,1898760,2010,Power Forward and Small Forward,42,11.0,6.3,14.0,1,0.0765436130007558
3349,Jarron Collins,643551,2010,Center,28,6.5,-2.2,52.0,9,0.0259430990173847
3350,Jason Collins,1352181,2010,Power Forward and Center,49,12.1,2.4,18.0,9,0.0545096900982615
3351,Darren Collison,1361040,2010,Point Guard,79,29.9,11.2,21.0,1,0.0548668178382464
3352,Nick Collison,13250000,2010,Power Forward and Center,71,21.5,6.7,12.0,7,0.5341395817586294
3353,Mike Conley,4913007,2010,Point Guard,81,35.5,10.8,4.0,3,0.1980552078609221
3354,Brian Cook,1146337,2010,Power Forward and Center,40,11.2,7.7,24.0,7,0.0462116200554295
3355,Daequan Cook,2169857,2010,Small Forward and Shooting Guard,43,13.9,8.5,21.0,3,0.0874721894683799
3356,DeMarcus Cousins,3374640,2010,Center,81,28.5,9.9,5.0,0,0.1360399092970521
3357,Jamal Crawford,10800000,2010,Shooting Guard and Point Guard,76,30.2,9.2,8.0,10,0.4353741496598639
