,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter,norm_sal
155,Al Harrington,543000,1998,Power Forward and Center and Small Forward,21,7.6,0.8,25.0,0,0.0293513513513513
156,Cedric Henderson,250000,1998,Small Forward,50,30.4,6.7,44.0,1,0.0135135135135135
157,J.R. Henderson,287500,1998,Small Forward,31,10.7,4.7,56.0,0,0.0155405405405405
158,Mark Hendrickson,425000,1998,Power Forward,22,17.9,6.7,31.0,2,0.0229729729729729
159,Jerald Honeycutt,300000,1998,Power Forward,16,6.3,-0.6,38.0,1,0.0162162162162162
160,Larry Hughes,1330000,1998,Shooting Guard and Point Guard and Small Forward,50,19.8,10.9,8.0,0,0.0718918918918919
161,Allen Iverson,3537000,1998,Shooting Guard and Point Guard,48,41.5,15.4,1.0,2,0.1911891891891892
162,Bobby Jackson,799200,1998,Shooting Guard and Point Guard,50,18.8,11.2,23.0,1,0.0432
163,Sam Jacobson,559000,1998,Point Guard,2,6.0,16.4,26.0,0,0.0302162162162162
164,Jerome James,287500,1998,Center,16,2.6,3.8,36.0,0,0.0155405405405405
165,Antawn Jamison,1940000,1998,Power Forward and Small Forward,47,22.5,11.2,4.0,0,0.1048648648648648
166,Anthony Johnson,1000000,1998,Point Guard and Shooting Guard,49,18.1,8.2,39.0,1,0.054054054054054
167,Kerry Kittles,1762000,1998,Shooting Guard,46,34.2,8.5,8.0,2,0.0952432432432432
168,Brevin Knight,1092000,1998,Point Guard,39,30.5,12.9,16.0,1,0.059027027027027
169,Travis Knight,2400000,1998,Center,37,14.3,7.0,29.0,2,0.1297297297297297
170,Raef LaFrentz,2150000,1998,Power Forward and Center,12,32.4,11.0,3.0,0,0.1162162162162162
171,Rashard Lewis,287500,1998,Small Forward and Power Forward,20,7.4,0.0,32.0,0,0.0155405405405405
172,Randy Livingston,287500,1998,Point Guard,1,22.3,16.9,42.0,2,0.0155405405405405
173,Felipe Lopez,600000,1998,Shooting Guard and Point Guard,47,26.0,6.0,24.0,0,0.0324324324324324
174,Tyronn Lue,287500,1998,Point Guard,15,12.7,4.2,23.0,0,0.0155405405405405
175,Stephon Marbury,2562000,1998,Point Guard,49,38.6,13.7,4.0,2,0.1384864864864864
176,Sean Marks,287500,1998,Power Forward and Center,8,3.2,2.5,44.0,0,0.0155405405405405
177,Walter McCarty,975000,1998,Small Forward and Power Forward,32,20.6,4.9,19.0,2,0.0527027027027027
178,Jelani McCoy,287500,1998,Center,26,12.6,12.5,33.0,0,0.0155405405405405
179,Tracy McGrady,1563000,1998,Shooting Guard and Small Forward,49,22.5,13.0,9.0,1,0.0844864864864864
180,Jeff McInnis,350000,1998,Point Guard and Shooting Guard,35,12.1,7.2,37.0,2,0.0189189189189189
181,Roshown McLeod,740000,1998,Small Forward,34,10.3,7.1,20.0,0,0.04
182,Ron Mercer,2033000,1998,Small Forward and Shooting Guard,41,37.9,8.6,6.0,1,0.1098918918918918
183,Marko Milic,350000,1998,Shooting Guard and Small Forward,11,4.8,0.0,33.0,1,0.0189189189189189
184,Cuttino Mobley,287500,1998,Shooting Guard and Point Guard,49,29.7,7.1,41.0,0,0.0155405405405405
185,Nazr Mohammed,535000,1998,Center,26,4.6,3.2,29.0,0,0.0289189189189189
186,Steve Nash,1190760,1998,Point Guard,40,31.7,7.4,15.0,2,0.0643654054054054
187,Moochie Norris,350000,1998,Point Guard,12,11.6,4.9,33.0,2,0.0189189189189189
188,Dirk Nowitzki,1472640,1998,Power Forward and Center,47,20.4,7.0,9.0,0,0.0796021621621621
189,Charles O'Bannon,320000,1998,Shooting Guard,18,9.1,8.2,31.0,1,0.0172972972972972
190,Jermaine O'Neal,1075000,1998,Power Forward and Center,36,8.6,8.0,17.0,2,0.0581081081081081
