,PLAYER,GP,MIN,PIE,Year,overall,yearsAfter
1343,Bonzi Wells,69,21.6,10.8,2004,11.0,6
1344,Boris Diaw,66,18.1,7.2,2004,21.0,1
1345,Bostjan Nachbar,71,18.9,6.9,2004,15.0,2
1346,Brandon Hunter,31,7.0,7.1,2004,56.0,1
1347,Brendan Haywood,68,27.5,9.3,2004,20.0,3
1348,Brevin Knight,66,29.5,13.1,2004,16.0,7
1349,Brian Cardinal,58,24.7,9.2,2004,44.0,4
1350,Brian Cook,72,15.0,8.1,2004,24.0,1
1351,Brian Scalabrine,54,21.6,8.8,2004,34.0,3
1352,Brian Skinner,49,19.3,8.0,2004,22.0,6
1353,Bruno Sundov,21,3.3,-4.4,2004,35.0,6
1354,Calvin Booth,51,8.9,6.6,2004,35.0,5
1355,Carlos Boozer,51,34.9,14.0,2004,34.0,2
1356,Carlos Delfino,30,15.4,5.0,2004,25.0,1
1357,Carmelo Anthony,75,34.8,10.6,2004,3.0,1
1358,Caron Butler,77,35.6,9.5,2004,10.0,2
1359,Casey Jacobsen,84,21.5,7.4,2004,22.0,2
1360,Chauncey Billups,80,35.9,13.8,2004,3.0,7
1361,Chris Bosh,81,37.2,11.7,2004,4.0,1
1362,Chris Duhon,82,26.5,8.0,2004,38.0,0
1363,Chris Kaman,63,26.0,8.9,2004,6.0,1
1364,Chris Mihm,75,25.0,8.6,2004,7.0,4
1365,Chris Wilcox,54,18.6,9.2,2004,8.0,2
1366,Corey Maggette,66,37.1,13.9,2004,13.0,5
1367,Corsley Edwards,10,11.0,2.5,2004,57.0,2
1368,Curtis Borchardt,67,12.8,5.6,2004,18.0,2
1369,Cuttino Mobley,66,36.3,8.9,2004,41.0,6
1370,Dahntay Jones,52,12.4,5.6,2004,20.0,1
1371,Dajuan Wagner,11,9.3,0.6,2004,6.0,2
1372,Damone Brown,14,10.8,4.0,2004,36.0,3
1373,Dan Dickau,71,29.3,10.2,2004,28.0,2
1374,Dan Gadzuric,81,22.0,10.9,2004,33.0,2
1375,Danny Fortson,62,16.9,9.2,2004,10.0,7
1376,Darius Miles,63,26.9,9.9,2004,3.0,4
1377,Darius Songaila,81,20.5,9.5,2004,49.0,2
1378,Darko Milicic,37,6.8,3.1,2004,2.0,1
1379,David Harrison,43,17.7,6.1,2004,29.0,0
1380,David West,30,18.3,8.4,2004,18.0,1
1381,DeSagana Diop,39,7.8,1.6,2004,8.0,3
1382,DeShawn Stevenson,55,19.6,4.9,2004,23.0,4
1383,Delonte West,39,12.9,8.0,2004,24.0,0
1384,DerMarr Johnson,71,17.2,8.7,2004,6.0,4
1385,Derek Anderson,47,26.3,8.1,2004,13.0,7
1386,Derek Fisher,74,30.0,9.3,2004,24.0,8
1387,Desmond Mason,80,36.1,9.0,2004,17.0,4
1388,Devean George,15,20.5,5.9,2004,23.0,5
1389,Devin Harris,76,15.5,8.6,2004,5.0,0
1390,Dion Glover,7,9.4,8.7,2004,20.0,5
1391,Dirk Nowitzki,78,38.8,18.6,2004,9.0,6
1392,Donnell Harvey,3,5.4,22.3,2004,22.0,4
1393,Donta Smith,38,11.4,5.5,2004,34.0,0
1394,Dorell Wright,3,9.2,3.0,2004,19.0,0
1395,Drew Gooden,82,30.8,14.0,2004,4.0,2
1396,Dwight Howard,82,32.7,11.5,2004,1.0,0
1397,Dwyane Wade,77,38.7,15.3,2004,5.0,1
1398,Earl Watson,80,22.7,10.2,2004,39.0,3
1399,Eddie Griffin,70,21.3,10.6,2004,7.0,3
1400,Eddie House,68,13.0,10.5,2004,37.0,4
1401,Eddy Curry,63,28.8,10.9,2004,4.0,3
1402,Eduardo Najera,68,17.4,6.4,2004,38.0,4
1403,Elton Brand,81,37.1,14.8,2004,1.0,5
1404,Emeka Okafor,73,35.6,11.1,2004,2.0,0
1405,Erick Dampier,59,27.2,9.4,2004,10.0,8
1406,Etan Thomas,47,20.8,7.1,2004,12.0,4
1407,Flip Murray,49,17.9,6.2,2004,41.0,2
1408,Francisco Elson,67,14.0,6.1,2004,41.0,5
1409,Frank Williams,9,7.8,-2.4,2004,25.0,2
1410,Fred Jones,77,29.5,9.8,2004,14.0,2
1411,Gerald Wallace,70,30.7,9.1,2004,25.0,3
1412,Gilbert Arenas,80,41.0,13.8,2004,30.0,3
1413,Gordan Giricek,81,20.4,9.8,2004,40.0,5
1414,Greg Buckner,70,21.7,8.5,2004,53.0,6
1415,Ha Ha,19,5.3,-1.4,2004,46.0,0
1416,Hedo Turkoglu,67,26.4,10.7,2004,16.0,4
1417,JR Smith,76,24.5,6.4,2004,18.0,0
1418,Jabari Smith,45,14.4,4.8,2004,45.0,4
1419,Jackson Vroman,46,15.4,5.5,2004,31.0,0
1420,Jacque Vaughn,71,19.7,6.4,2004,27.0,7
1421,Jahidi White,17,7.8,-1.5,2004,43.0,6
1422,Jake Tsakalidis,31,9.1,7.4,2004,25.0,4
1423,Jake Voskuhl,38,9.5,5.3,2004,33.0,4
1424,Jamaal Magloire,23,30.7,8.4,2004,19.0,4
1425,Jamaal Tinsley,40,32.5,12.8,2004,27.0,3
1426,Jamal Crawford,70,38.4,9.7,2004,8.0,4
1427,Jamal Sampson,23,14.2,9.8,2004,46.0,2
1428,Jameer Nelson,79,20.4,9.4,2004,20.0,0
1429,James Jones,75,17.6,7.0,2004,49.0,1
1430,James Posey,50,27.7,7.7,2004,18.0,5
1431,Jamison Brewer,18,10.0,2.8,2004,40.0,3
1432,Jared Jeffries,77,26.1,6.8,2004,11.0,2
1433,Jarron Collins,50,19.2,4.0,2004,52.0,3
1434,Jarvis Hayes,54,28.9,7.7,2004,10.0,1
1435,Jason Collier,70,13.5,5.0,2004,15.0,4
1436,Jason Collins,80,31.8,5.3,2004,18.0,3
1437,Jason Hart,74,25.5,13.0,2004,49.0,4
1438,Jason Kapono,81,18.4,7.4,2004,31.0,1
1439,Jason Richardson,72,37.8,12.2,2004,5.0,3
1440,Jason Terry,80,30.0,12.0,2004,10.0,5
1441,Jason Williams,71,27.5,10.9,2004,7.0,6
1442,Jeff Foster,61,26.3,11.7,2004,21.0,5
1443,Jeff McInnis,76,34.9,8.2,2004,37.0,8
1444,Jelani McCoy,10,8.6,-0.2,2004,33.0,6
1445,Jermaine O'Neal,44,35.0,15.7,2004,17.0,8
1446,Jerome James,80,16.6,3.6,2004,36.0,6
1447,Jerome Moiso,20,5.9,9.5,2004,11.0,4
1448,Jerome Williams,79,15.3,8.4,2004,26.0,8
1449,Jiri Welsch,71,18.6,7.0,2004,16.0,2
1450,Joe Johnson,82,39.5,9.4,2004,10.0,3
1451,Joel Przybilla,76,24.4,10.1,2004,9.0,4
1452,John Salmons,58,17.0,7.7,2004,26.0,2
1453,John Thomas,44,11.8,3.8,2004,25.0,7
1454,Jonathan Bender,7,13.2,3.2,2004,5.0,5
1455,Josh Childress,80,29.6,9.8,2004,6.0,0
1456,Josh Howard,76,32.2,9.9,2004,29.0,1
1457,Josh Smith,74,27.7,10.1,2004,17.0,0
1458,Juan Dixon,63,16.7,9.7,2004,17.0,2
1459,Jumaine Jones,76,24.1,8.6,2004,27.0,5
1460,Justin Reed,23,5.0,8.9,2004,40.0,0
1461,Kaniel Dickens,11,5.0,4.9,2004,50.0,4
1462,Kareem Rush,48,20.1,6.4,2004,20.0,2
1463,Kedrick Brown,8,6.8,9.9,2004,11.0,3
1464,Keith Bogans,74,24.3,5.9,2004,43.0,1
1465,Keith Van Horn,62,24.2,10.1,2004,2.0,7
1466,Kelvin Cato,62,24.5,10.6,2004,15.0,7
1467,Kendrick Perkins,60,9.0,8.1,2004,27.0,1
1468,Kenny Thomas,73,29.7,10.3,2004,22.0,5
1469,Kenyon Martin,70,32.6,11.8,2004,1.0,4
1470,Kerry Kittles,11,22.1,8.1,2004,8.0,8
1471,Kevin Martin,45,10.2,4.5,2004,26.0,0
1472,Keyon Dooling,74,16.0,7.1,2004,10.0,4
1473,Kirk Hinrich,77,36.3,12.0,2004,7.0,1
1474,Kirk Snyder,68,13.2,3.7,2004,16.0,0
1475,Kobe Bryant,66,40.8,14.8,2004,13.0,8
1476,Kris Humphries,67,13.0,6.3,2004,14.0,0
1477,Kwame Brown,42,21.6,6.3,2004,1.0,3
1478,Kyle Korver,82,32.5,8.8,2004,51.0,1
1479,Lamar Odom,64,36.2,12.9,2004,4.0,5
1480,Laron Profit,42,10.0,7.6,2004,38.0,5
1481,Larry Hughes,61,38.6,14.7,2004,8.0,6
1482,LeBron James,80,42.3,19.0,2004,1.0,1
1483,Leandro Barbosa,63,17.2,8.3,2004,28.0,1
1484,Lee Nailon,68,29.6,9.3,2004,43.0,5
1485,Lionel Chalmers,36,11.8,4.9,2004,33.0,0
1486,Lonny Baxter,4,9.0,-12.7,2004,43.0,2
1487,Loren Woods,45,15.6,7.4,2004,45.0,3
1488,Lorenzen Wright,80,28.6,9.9,2004,7.0,8
1489,Luis Flores,16,4.6,6.7,2004,55.0,0
1490,Luke Jackson,10,4.3,10.1,2004,10.0,0
1491,Luke Ridnour,82,31.4,10.0,2004,14.0,1
1492,Luke Walton,61,12.5,7.8,2004,32.0,1
1493,Luol Deng,61,27.2,10.9,2004,7.0,0
1494,Maciej Lampe,37,10.3,4.8,2004,30.0,1
1495,Malik Rose,76,19.5,7.7,2004,44.0,8
1496,Mamadou N'diaye,11,6.6,1.9,2004,26.0,4
1497,Manu Ginobili,74,29.7,15.9,2004,57.0,5
1498,Marc Jackson,81,24.3,10.3,2004,37.0,7
1499,Marcus Banks,81,14.1,8.7,2004,13.0,1
1500,Marcus Camby,66,30.6,14.2,2004,2.0,8
1501,Marcus Fizer,54,16.7,8.5,2004,4.0,4
1502,Marcus Haislip,9,11.7,-0.2,2004,13.0,2
1503,Mario Kasun,45,7.8,5.7,2004,40.0,2
1504,Mark Blount,82,26.1,7.8,2004,54.0,7
1505,Mark Madsen,41,14.7,1.9,2004,29.0,4
1506,Mark Pope,9,2.8,2.4,2004,52.0,8
1507,Marko Jaric,50,33.2,10.3,2004,30.0,4
1508,Mateen Cleaves,14,4.6,6.9,2004,14.0,4
1509,Matt Barnes,43,16.4,5.4,2004,45.0,2
1510,Matt Bonner,82,18.8,8.4,2004,45.0,1
1511,Matt Freije,23,19.0,2.4,2004,53.0,0
1512,Matt Harpring,78,33.1,10.3,2004,15.0,6
1513,Maurice Taylor,65,20.7,6.3,2004,14.0,7
1514,Mehmet Okur,82,28.1,14.8,2004,37.0,3
1515,Melvin Ely,79,21.0,5.4,2004,12.0,2
1516,Metta World Peace,7,41.4,16.6,2004,16.0,5
1517,Michael Bradley,18,6.4,9.5,2004,17.0,3
1518,Michael Doleac,80,14.6,6.7,2004,12.0,6
1519,Michael Olowokandi,62,19.6,5.8,2004,1.0,6
1520,Michael Redd,75,38.0,11.6,2004,43.0,4
1521,Michael Ruffin,79,15.9,4.2,2004,32.0,5
1522,Michael Sweetney,77,19.5,9.7,2004,9.0,1
1523,Mickael Pietrus,67,19.9,8.1,2004,11.0,1
1524,Mike Bibby,80,38.6,12.0,2004,2.0,6
1525,Mike Dunleavy,79,32.5,10.0,2004,3.0,2
1526,Mike Miller,76,30.0,11.9,2004,5.0,4
1527,Mo Williams,80,28.3,9.7,2004,47.0,1
1528,Moochie Norris,38,9.4,4.7,2004,33.0,8
1529,Morris Peterson,82,30.7,8.9,2004,21.0,4
1530,Nazr Mohammed,77,25.2,9.5,2004,29.0,6
1531,Ndudi Ebi,2,27.0,10.2,2004,26.0,1
1532,Nenad Krstic,75,26.2,7.6,2004,24.0,2
1533,Nene,55,23.9,10.5,2004,7.0,2
1534,Nick Collison,82,17.0,8.5,2004,12.0,1
1535,Nikoloz Tskitishvili,35,6.1,0.2,2004,5.0,2
1536,Obinna Ekezie,42,17.4,5.0,2004,37.0,5
1537,Omar Cook,5,14.7,11.4,2004,31.0,3
1538,Othella Harrington,70,18.3,9.9,2004,30.0,8
1539,Pape Sow,27,9.3,2.9,2004,47.0,0
1540,Pat Garrity,71,13.4,5.6,2004,19.0,6
1541,Pau Gasol,56,31.8,15.6,2004,3.0,3
1542,Paul Pierce,82,36.1,14.6,2004,10.0,6
1543,Pavel Podkolzin,5,1.5,-26.7,2004,21.0,0
1544,Peja Stojakovic,66,38.5,10.3,2004,14.0,8
1545,Peter John Ramos,6,3.3,4.7,2004,32.0,0
1546,Predrag Drobnjak,71,20.3,8.0,2004,48.0,7
1547,Primoz Brezec,72,31.7,10.7,2004,27.0,4
1548,Quentin Richardson,79,36.0,8.2,2004,18.0,4
1549,Qyntel Woods,3,13.1,2.8,2004,21.0,2
1550,Raef LaFrentz,80,27.5,10.7,2004,3.0,6
1551,Rafael Araujo,59,12.5,2.9,2004,8.0,0
1552,Rafer Alston,80,34.0,11.0,2004,39.0,6
1553,Randy Livingston,17,13.5,7.9,2004,42.0,8
1554,Rashard Lewis,71,38.1,12.3,2004,32.0,6
1555,Rasho Nesterovic,70,25.5,7.9,2004,17.0,6
1556,Rasual Butler,65,18.4,7.6,2004,52.0,2
1557,Raul Lopez,31,16.7,8.5,2004,24.0,3
1558,Ray Allen,78,39.3,13.7,2004,5.0,8
1559,Reece Gaines,21,8.6,1.8,2004,15.0,1
1560,Richard Hamilton,76,38.6,11.0,2004,7.0,5
1561,Richard Jefferson,33,41.3,14.4,2004,13.0,3
1562,Ricky Davis,82,32.8,10.3,2004,21.0,6
1563,Robert Swift,16,4.4,-1.9,2004,12.0,0
1564,Robert Traylor,74,18.0,6.5,2004,6.0,6
1565,Rodney Buford,64,20.5,7.5,2004,53.0,5
1566,Rodney White,58,11.7,7.9,2004,9.0,3
1567,Ron Mercer,18,21.7,7.8,2004,6.0,7
1568,Royal Ivey,62,13.1,4.6,2004,37.0,0
1569,Ruben Patterson,70,28.1,9.0,2004,31.0,6
1570,Ryan Bowen,66,8.8,4.9,2004,55.0,6
1571,Ryan Humphrey,35,9.1,5.3,2004,19.0,2
1572,Samaki Walker,14,9.7,-1.2,2004,9.0,8
1573,Samuel Dalembert,72,24.9,9.1,2004,26.0,3
1574,Sasha Pavlovic,65,13.3,4.1,2004,19.0,1
1575,Sasha Vujacic,35,11.5,5.7,2004,27.0,0
1576,Scot Pollard,49,17.7,6.4,2004,19.0,7
1577,Scott Padgett,66,14.2,8.6,2004,28.0,5
1578,Sean Marks,23,10.5,5.9,2004,44.0,6
1579,Sebastian Telfair,68,19.6,6.7,2004,13.0,0
1580,Shandon Anderson,66,17.8,6.4,2004,54.0,8
1581,Shane Battier,80,31.5,9.4,2004,6.0,3
1582,Shareef Abdur-Rahim,54,34.7,12.5,2004,3.0,8
1583,Shaun Livingston,30,27.3,7.6,2004,4.0,0
1584,Shawn Marion,81,38.8,14.0,2004,9.0,5
1585,Speedy Claxton,62,30.2,10.9,2004,20.0,4
1586,Stephen Jackson,51,35.2,10.7,2004,42.0,7
1587,Stephon Marbury,82,40.2,14.4,2004,4.0,8
1588,Steve Blake,44,14.7,5.8,2004,38.0,1
1589,Steve Francis,78,38.1,12.8,2004,2.0,5
1590,Steve Nash,75,34.2,14.5,2004,15.0,8
1591,Steven Hunter,76,13.8,6.9,2004,15.0,3
1592,Stromile Swift,60,21.3,10.0,2004,2.0,4
1593,Tamar Slay,8,9.7,-3.8,2004,53.0,2
1594,Tayshaun Prince,82,37.1,11.6,2004,23.0,2
1595,Tim Duncan,66,33.4,20.4,2004,1.0,7
1596,Tim Thomas,71,27.3,6.9,2004,7.0,7
1597,Tony Allen,77,16.3,8.9,2004,25.0,0
1598,Tony Battie,81,23.6,6.1,2004,5.0,7
1599,Tony Delk,56,24.1,9.1,2004,16.0,8
1600,Tony Parker,80,34.2,13.8,2004,28.0,3
1601,Torraye Braggs,7,3.2,9.1,2004,57.0,6
1602,Tracy McGrady,78,40.9,16.1,2004,9.0,7
1603,Travis Outlaw,59,13.4,9.1,2004,23.0,1
1604,Tremaine Fowlkes,8,6.4,5.2,2004,54.0,6
1605,Trenton Hassell,82,25.3,5.4,2004,29.0,3
1606,Trevor Ariza,80,17.3,8.4,2004,43.0,0
1607,Troy Murphy,70,34.0,11.5,2004,14.0,3
1608,Tyronn Lue,70,28.7,9.7,2004,23.0,6
1609,Tyson Chandler,80,27.3,12.9,2004,2.0,3
1610,Viktor Khryapa,32,16.5,5.0,2004,22.0,0
1611,Vince Carter,77,36.9,15.2,2004,5.0,6
1612,Vitaly Potapenko,33,10.2,7.4,2004,12.0,8
1613,Vladimir Radmanovic,63,29.5,8.9,2004,12.0,3
1614,Wally Szczerbiak,81,31.7,10.9,2004,6.0,5
1615,Walter McCarty,72,12.5,4.3,2004,19.0,8
1616,Wang Zhi-zhi,20,4.5,10.2,2004,36.0,5
1617,Willie Green,57,18.7,6.3,2004,41.0,1
1618,Yao Ming,80,30.7,14.8,2004,1.0,2
1619,Zach Randolph,46,34.9,13.8,2004,19.0,3
1620,Zarko Cabarkapa,40,11.9,11.1,2004,17.0,1
1621,Zaza Pachulia,74,18.9,9.6,2004,42.0,1
1622,Zoran Planinic,43,11.9,8.8,2004,22.0,1
1623,Zydrunas Ilgauskas,78,33.5,11.3,2004,20.0,8
1624,Adonal Foyle,77,23.7,6.4,2005,8.0,8
1625,Al Harrington,76,36.6,10.5,2005,25.0,7
1626,Al Jefferson,59,18.0,11.3,2005,15.0,1
1627,Alex Acker,5,7.0,-1.2,2005,60.0,0
1628,Allen Iverson,72,43.1,16.3,2005,1.0,9
1629,Alvin Williams,1,9.8,0.0,2005,47.0,8
1630,Amar'e Stoudemire,3,16.8,11.4,2005,9.0,3
1631,Amir Johnson,3,12.9,8.4,2005,56.0,0
1632,Anderson Varejao,48,15.8,9.1,2005,30.0,1
1633,Andray Blatche,29,6.1,5.0,2005,49.0,0
1634,Andre Iguodala,82,37.6,10.0,2005,9.0,1
1635,Andre Miller,82,35.8,11.7,2005,8.0,6
1636,Andrei Kirilenko,69,37.7,15.2,2005,24.0,6
1637,Andrew Bogut,82,28.6,10.4,2005,1.0,0
1638,Andrew Bynum,46,7.4,2.0,2005,10.0,0
1639,Andris Biedrins,68,14.7,6.8,2005,11.0,1
1640,Antawn Jamison,82,40.1,12.9,2005,4.0,7
1641,Anthony Johnson,75,26.4,10.4,2005,39.0,8
1642,Antoine Walker,82,26.8,10.5,2005,6.0,9
1643,Antoine Wright,39,9.5,-1.3,2005,15.0,0
1644,Antonio Burks,57,10.0,4.0,2005,36.0,1
1645,Antonio Daniels,80,28.5,10.0,2005,4.0,8
1646,Austin Croshere,50,23.0,11.6,2005,12.0,8
1647,Baron Davis,54,36.5,12.7,2005,3.0,6
1648,Ben Gordon,80,31.0,9.6,2005,3.0,1
1649,Beno Udrih,55,10.7,9.7,2005,28.0,1
1650,Bernard Robinson,66,19.7,7.9,2005,45.0,1
1651,Bobby Jackson,71,25.0,10.2,2005,23.0,8
1652,Bobby Simmons,75,33.8,8.7,2005,41.0,4
1653,Bonzi Wells,52,32.4,10.7,2005,11.0,7
1654,Boris Diaw,81,35.5,11.6,2005,21.0,2
1655,Bostjan Nachbar,36,13.9,3.8,2005,15.0,3
1656,Bracey Wright,7,19.3,10.3,2005,47.0,0
1657,Brandon Bass,29,9.3,8.0,2005,33.0,0
1658,Brendan Haywood,79,23.8,7.4,2005,20.0,4
1659,Brevin Knight,69,34.1,12.6,2005,16.0,8
1660,Brian Cardinal,36,11.2,5.8,2005,44.0,5
1661,Brian Cook,81,19.0,9.3,2005,24.0,2
1662,Brian Scalabrine,71,13.2,3.3,2005,34.0,4
1663,Brian Skinner,65,14.5,6.9,2005,22.0,7
1664,CJ Miles,23,8.8,8.5,2005,34.0,0
1665,Calvin Booth,33,7.6,4.1,2005,35.0,6
1666,Carlos Boozer,33,31.1,15.1,2005,34.0,3
1667,Carlos Delfino,68,10.7,6.2,2005,25.0,2
1668,Carmelo Anthony,80,36.8,13.9,2005,3.0,2
1669,Caron Butler,75,36.1,11.7,2005,10.0,3
1670,Channing Frye,65,24.2,12.2,2005,8.0,0
1671,Charles Smith,22,9.5,5.4,2005,26.0,8
1672,Charlie Villanueva,81,29.1,9.5,2005,7.0,0
1673,Chauncey Billups,81,36.1,16.2,2005,3.0,8
1674,Chris Bosh,70,39.3,14.8,2005,4.0,2
1675,Chris Duhon,74,29.1,10.3,2005,38.0,1
1676,Chris Kaman,78,32.8,11.1,2005,6.0,2
1677,Chris Mihm,59,26.1,8.8,2005,7.0,5
1678,Chris Paul,78,36.0,16.1,2005,4.0,0
1679,Chris Taft,17,8.5,7.4,2005,42.0,0
1680,Chris Wilcox,77,19.9,11.3,2005,8.0,3
1681,Corey Maggette,32,29.5,12.6,2005,13.0,6
1682,Cuttino Mobley,79,37.7,8.9,2005,41.0,7
1683,Dahntay Jones,71,13.6,4.4,2005,20.0,2
1684,Dan Dickau,19,12.3,5.1,2005,28.0,3
1685,Dan Gadzuric,74,12.0,8.9,2005,33.0,3
1686,Daniel Ewing,66,14.7,4.9,2005,32.0,0
1687,Danny Fortson,23,12.0,2.6,2005,10.0,8
1688,Danny Granger,78,22.6,9.9,2005,17.0,0
1689,Darius Miles,40,32.1,8.2,2005,3.0,5
1690,Darius Songaila,62,21.4,9.6,2005,49.0,3
1691,Darko Milicic,55,13.9,9.6,2005,2.0,2
1692,David Harrison,67,15.4,5.6,2005,29.0,1
1693,David Lee,67,16.8,10.4,2005,30.0,0
1694,David West,74,34.1,13.2,2005,18.0,2
1695,DeSagana Diop,81,18.6,5.1,2005,8.0,4
1696,DeShawn Stevenson,82,32.3,6.7,2005,23.0,5
1697,Delonte West,71,34.1,10.3,2005,24.0,1
1698,DerMarr Johnson,58,15.9,7.3,2005,6.0,5
1699,Derek Anderson,43,24.3,8.3,2005,13.0,8
1700,Derek Fisher,82,31.6,10.0,2005,24.0,9
1701,Deron Williams,80,28.8,8.6,2005,3.0,0
1702,Derrick Zimmerman,2,15.9,8.1,2005,40.0,2
1703,Desmond Mason,70,30.0,6.1,2005,17.0,5
1704,Devean George,71,21.7,7.5,2005,23.0,6
1705,Devin Harris,56,22.8,11.8,2005,5.0,1
1706,Dijon Thompson,10,4.3,14.5,2005,54.0,0
1707,Dirk Nowitzki,81,38.1,20.5,2005,9.0,7
1708,Donta Smith,23,5.5,6.3,2005,34.0,1
1709,Dorell Wright,20,6.6,13.1,2005,19.0,1
1710,Drew Gooden,79,27.5,11.9,2005,4.0,3
1711,Dwight Howard,82,36.8,13.8,2005,1.0,1
1712,Dwyane Wade,75,38.6,18.6,2005,5.0,2
1713,Earl Watson,70,22.5,9.6,2005,39.0,4
1714,Eddie Griffin,70,19.4,8.8,2005,7.0,4
1715,Eddie House,81,17.5,9.7,2005,37.0,5
1716,Eddy Curry,72,25.9,9.9,2005,4.0,4
1717,Eduardo Najera,64,22.6,6.9,2005,38.0,5
1718,Elton Brand,79,39.2,17.6,2005,1.0,6
1719,Emeka Okafor,26,33.6,10.2,2005,2.0,1
1720,Erick Dampier,82,23.6,8.2,2005,10.0,9
1721,Etan Thomas,71,15.8,7.9,2005,12.0,5
1722,Flip Murray,76,27.8,7.2,2005,41.0,3
1723,Francisco Elson,72,21.9,6.3,2005,41.0,6
1724,Francisco Garcia,67,19.4,6.9,2005,23.0,0
1725,Fred Jones,68,27.0,8.3,2005,14.0,3
1726,Gerald Green,32,11.7,8.5,2005,18.0,0
1727,Gerald Wallace,55,34.5,13.6,2005,25.0,4
1728,Gilbert Arenas,80,42.3,14.7,2005,30.0,4
1729,Gordan Giricek,37,25.8,5.9,2005,40.0,6
1730,Greg Buckner,73,24.1,7.6,2005,53.0,7
1731,Ha Ha,27,7.8,2.6,2005,46.0,1
1732,Hakim Warrick,68,10.6,6.0,2005,19.0,0
1733,Hedo Turkoglu,78,33.5,11.1,2005,16.0,5
1734,Ike Diogu,69,14.9,9.2,2005,9.0,0
1735,JR Smith,55,18.0,7.9,2005,18.0,1
1736,Jackson Vroman,41,9.9,0.9,2005,31.0,1
1737,Jacque Vaughn,80,15.4,5.1,2005,27.0,8
1738,Jake Tsakalidis,51,14.4,10.4,2005,25.0,5
1739,Jake Voskuhl,51,16.0,5.8,2005,33.0,5
1740,Jamaal Magloire,82,30.1,7.8,2005,19.0,5
1741,Jamaal Tinsley,42,26.7,9.3,2005,27.0,4
1742,Jamal Crawford,79,32.3,11.5,2005,8.0,5
1743,Jamal Sampson,12,3.2,28.7,2005,46.0,3
1744,Jameer Nelson,62,28.8,12.8,2005,20.0,1
1745,James Jones,75,23.6,7.7,2005,49.0,2
1746,James Posey,67,28.6,6.9,2005,18.0,6
1747,Jared Jeffries,77,25.3,6.4,2005,11.0,3
1748,Jarrett Jack,79,20.2,9.5,2005,22.0,0
1749,Jarron Collins,79,21.9,6.8,2005,52.0,4
1750,Jarvis Hayes,21,24.6,8.3,2005,10.0,2
1751,Jason Collins,71,26.7,3.0,2005,18.0,4
1752,Jason Hart,66,12.4,4.7,2005,49.0,5
1753,Jason Kapono,51,13.0,5.5,2005,31.0,2
1754,Jason Maxiell,26,6.1,1.3,2005,26.0,0
1755,Jason Richardson,75,38.4,12.4,2005,5.0,4
1756,Jason Terry,80,35.0,11.3,2005,10.0,6
1757,Jason Williams,59,31.8,10.6,2005,7.0,7
1758,Jeff Foster,63,25.1,10.7,2005,21.0,6
1759,Jeff McInnis,28,17.4,7.3,2005,37.0,9
1760,Jermaine O'Neal,51,35.3,15.2,2005,17.0,9
1761,Jerome James,45,9.0,0.0,2005,36.0,7
1762,Jiri Welsch,58,14.9,7.0,2005,16.0,3
1763,Joe Johnson,82,40.7,12.5,2005,10.0,4
1764,Joel Przybilla,56,24.9,9.0,2005,9.0,5
1765,Joey Graham,80,19.8,5.6,2005,16.0,0
1766,Johan Petro,68,18.9,4.7,2005,25.0,0
1767,John Salmons,82,25.1,6.9,2005,26.0,3
1768,John Thomas,16,8.0,0.3,2005,25.0,8
1769,Jonathan Bender,2,10.3,16.9,2005,5.0,6
1770,Josh Childress,74,30.4,10.6,2005,6.0,1
1771,Josh Howard,59,32.5,12.3,2005,29.0,2
1772,Josh Smith,80,32.0,9.7,2005,17.0,1
1773,Juan Dixon,76,25.3,9.0,2005,17.0,3
1774,Julius Hodge,14,2.4,-2.5,2005,20.0,0
1775,Jumaine Jones,76,27.5,7.7,2005,27.0,6
1776,Justin Reed,72,13.8,2.6,2005,40.0,1
1777,Kareem Rush,47,23.6,6.0,2005,20.0,3
1778,Keith Bogans,72,26.6,7.3,2005,43.0,2
1779,Keith Van Horn,53,20.6,8.9,2005,2.0,8
1780,Kelvin Cato,27,12.3,5.3,2005,15.0,8
1781,Kendrick Perkins,68,19.6,8.1,2005,27.0,2
1782,Kenny Thomas,82,28.0,11.1,2005,22.0,6
1783,Kenyon Martin,56,27.6,11.2,2005,1.0,5
1784,Kevin Martin,72,26.6,9.9,2005,26.0,1
1785,Keyon Dooling,50,22.7,8.2,2005,10.0,5
1786,Kirk Hinrich,81,36.5,11.5,2005,7.0,2
1787,Kirk Snyder,68,19.3,9.1,2005,16.0,1
1788,Kobe Bryant,80,41.0,18.1,2005,13.0,9
1789,Kris Humphries,62,10.0,6.8,2005,14.0,1
1790,Kwame Brown,72,27.5,7.3,2005,1.0,4
1791,Kyle Korver,82,31.3,7.7,2005,51.0,2
1792,Lamar Odom,80,40.3,13.0,2005,4.0,6
1793,Laron Profit,25,11.2,10.4,2005,38.0,6
1794,Larry Hughes,36,35.6,8.6,2005,8.0,7
1795,Lawrence Roberts,33,5.5,6.1,2005,55.0,0
1796,LeBron James,79,42.5,19.2,2005,1.0,2
1797,Leandro Barbosa,57,27.9,8.8,2005,28.0,2
1798,Lee Nailon,22,10.8,7.6,2005,43.0,6
1799,Linas Kleiza,61,8.5,7.1,2005,27.0,0
1800,Lonny Baxter,41,9.8,7.5,2005,43.0,3
1801,Loren Woods,27,12.0,6.6,2005,45.0,4
