,PLAYER,GP,MIN,PIE,Year,overall,yearsAfter
158,Dee Brown,49,28.2,8.9,2008,46.0,2
159,Derek Anderson,38,25.8,13.5,1998,13.0,1
160,Derek Fisher,50,22.6,8.6,1998,24.0,2
161,Dirk Nowitzki,47,20.4,7.0,1998,9.0,0
162,Drew Barry,17,10.8,6.0,1998,57.0,2
163,Ed Gray,30,11.2,-0.3,1998,22.0,1
164,Eric Washington,38,20.1,4.6,1998,46.0,1
165,Erick Dampier,50,28.3,6.4,1998,10.0,2
166,Felipe Lopez,47,26.0,6.0,1998,24.0,0
167,Glen Rice,27,36.5,10.1,2015,35.0,2
168,J.R. Henderson,31,10.7,4.7,1998,56.0,0
169,Jacque Vaughn,19,4.5,9.1,1998,27.0,1
170,Jahidi White,20,9.5,3.1,1998,43.0,0
171,James Cotton,10,5.7,6.1,1998,32.0,1
172,Jamie Feick,28,30.4,9.6,1998,48.0,2
173,Jason Sasser,6,6.5,7.2,1998,41.0,2
174,Jason Williams,50,36.1,8.6,1998,7.0,0
175,Jeff McInnis,35,12.1,7.2,1998,37.0,2
176,Jelani McCoy,26,12.6,12.5,1998,33.0,0
177,Jerald Honeycutt,16,6.3,-0.6,1998,38.0,1
178,Jermaine O'Neal,36,8.6,8.0,1998,17.0,2
179,Jerome James,16,2.6,3.8,1998,36.0,0
180,Jerome Williams,50,23.1,12.6,1998,26.0,2
181,John Thomas,39,15.2,7.4,1998,25.0,1
182,John Wallace,48,16.9,9.2,1998,18.0,2
183,Johnny Taylor,36,20.1,4.4,1998,17.0,1
184,Keith Booth,39,11.0,3.8,1998,28.0,1
185,Keith Van Horn,42,37.5,13.3,1998,2.0,1
186,Kelvin Cato,43,12.7,8.3,1998,15.0,1
187,Keon Clark,28,14.6,6.6,1998,13.0,0
188,Kerry Kittles,46,34.2,8.5,1998,8.0,2
189,Kobe Bryant,50,37.9,13.1,1998,13.0,2
190,Korleone Young,3,5.3,20.3,1998,40.0,0
191,Larry Hughes,50,19.8,10.9,1998,8.0,0
192,Lorenzen Wright,48,23.6,9.4,1998,7.0,2
193,Malik Rose,47,12.9,10.7,1998,44.0,2
194,Marcus Camby,46,20.6,11.1,1998,2.0,2
195,Mark Hendrickson,22,17.9,6.7,1998,31.0,2
196,Mark Pope,4,6.3,-21.7,1998,52.0,2
197,Marko Milic,11,4.8,0.0,1998,33.0,1
198,Matt Harpring,50,22.3,8.2,1998,15.0,0
199,Maurice Taylor,46,32.7,7.5,1998,14.0,1
200,Michael Dickerson,50,31.1,6.3,1998,14.0,0
201,Michael Doleac,49,15.9,7.0,1998,12.0,0
202,Michael Olowokandi,45,28.5,7.0,1998,1.0,0
203,Mike Bibby,50,35.1,10.0,1998,2.0,0
204,Miles Simon,5,3.7,-5.9,1998,42.0,0
205,Moochie Norris,12,11.6,4.9,1998,33.0,2
206,Nazr Mohammed,26,4.6,3.2,1998,29.0,0
207,Othella Harrington,41,22.0,11.5,1998,30.0,2
208,Pat Garrity,39,13.8,7.3,1998,19.0,0
209,Patrick Ewing,38,34.2,14.9,2010,43.0,2
210,Paul Grant,6,2.2,-8.0,1998,20.0,1
211,Paul Pierce,48,34.0,11.6,1998,10.0,0
212,Peja Stojakovic,48,21.4,9.4,1998,14.0,2
213,Raef LaFrentz,12,32.4,11.0,1998,3.0,0
214,Randy Livingston,1,22.3,16.9,1998,42.0,2
215,Rashard Lewis,20,7.4,0.0,1998,32.0,0
216,Rasho Nesterovic,2,15.1,0.4,1998,17.0,0
217,Ray Allen,50,34.4,12.5,1998,5.0,2
218,Ricky Davis,46,12.2,8.4,1998,21.0,0
219,Robert Traylor,49,16.0,7.8,1998,6.0,0
220,Rodrick Rhodes,13,12.0,-4.2,1998,24.0,1
221,Ron Mercer,41,37.9,8.6,1998,6.0,1
