PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PIE_5_YR
2754,Tony,Allen,Tony Allen,SG,75.5,6' 3.5'',214,81,6' 9'',102,8' 6'',2004,2003-04,0,3392,Oklahoma State,22,35,34,31.6,5.8,11.6,0.504,0.6,2.1,0.297,3.7,5.5,0.675,1.8,3.7,5.5,3.1,2.1,0.9,2.8,3,16,9.7
2772,Trevor,Ariza,Trevor Ariza,SG-SF,79,6' 7'',201,86,7' 2'',107.5,8' 11.5'',2004,2003-04,0,2535,California-Los Angeles,19,25,23,31.6,4.3,10,0.426,0.7,3,0.237,2.3,4.5,0.504,2.4,4,6.5,2.1,1.7,0.4,3.2,2.8,11.6,10.1
2857,Andre,Barrett,Andre Barrett,PG,68.75,5' 8.75'',171,73,6' 1'',92,7' 8'',2004,2003-04,0,3202,Seton Hall,22,31,31,36.1,6,13.3,0.455,2.4,6.1,0.384,2.9,3.8,0.761,0.9,3,3.9,5.9,1.4,0.1,2.6,2,17.3,0
101138,Brandon,Bass,Brandon Bass,PF,78.25,6' 6.25'',246,86.5,7' 2.5'',106.5,8' 10.5'',2004,2004-05,0,2863,Louisiana State,20,30,29,33.6,6,10.6,0.567,0.4,0.9,0.462,4.9,6.3,0.777,2.7,6.3,9.1,0.8,0.8,1.6,1.8,2.4,17.3,9.7
2736,Luol,Deng,Luol Deng,SF,79,6' 7'',220,84.5,7' 0.5'',108.5,9' 0.5'',2004,2003-04,0,3111,Duke,19,37,32,31.1,5.7,11.9,0.475,1.1,3,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1,10.3
2732,Ben,Gordon,Ben Gordon,PG-SG,73,6' 1'',192,80.5,6' 8.5'',99,8' 3'',2004,2003-04,0,2609,Connecticut,21,39,39,34.5,6.1,14.1,0.434,2.7,6.2,0.433,3.6,4.4,0.829,0.9,3.8,4.7,4.5,1.4,0.2,2.8,2.3,18.5,11
2734,Devin,Harris,Devin Harris,PG,73.75,6' 1.75'',170,79.5,6' 7.5'',98.5,8' 2.5'',2004,2003-04,0,3738,Wisconsin,21,32,32,36.3,5.9,12.9,0.459,2.3,6.3,0.373,5.3,6.8,0.792,0.6,3.7,4.3,4.4,1.8,0.1,2.1,1.9,19.5,13.8
2743,Kris,Humphries,Kris Humphries,PF,80.25,6' 8.25'',238,84.5,7' 0.5'',106.5,8' 10.5'',2004,2003-04,0,3019,Minnesota,19,29,28,34.1,7.6,17.2,0.444,0.6,1.7,0.34,5.9,7.9,0.742,3.1,7,10.1,0.7,0.9,1.1,2.8,2.2,21.7,9.8
2738,Andre,Iguodala,Andre Iguodala,SG-SF,77.75,6' 5.75'',217,83,6' 11'',105.5,8' 9.5'',2004,2003-04,0,2507,Arizona,20,30,30,32.1,4.5,10.1,0.45,0.8,2.4,0.315,3.1,3.9,0.788,2.4,6,8.4,4.9,1.6,0.4,2.8,2.5,12.9,13.5
2749,Jameer,Nelson,Jameer Nelson,PG,71,5' 11'',199,74.5,6' 2.5'',95,7' 11'',2004,2003-04,0,3478,Saint Joseph's,22,32,32,33.9,7.3,15.4,0.475,2.3,5.8,0.39,3.7,4.7,0.792,1,3.7,4.7,5.3,3,0,2.8,1.8,20.6,14.2
101126,Nate,Robinson,Nate Robinson,PG,67.75,5' 7.75'',181,73,6' 1'',91.5,7' 7.5'',2004,2004-05,0,3721,Washington,21,35,35,31.5,5.4,11.6,0.463,1.8,4.6,0.385,3.9,5,0.782,1.5,2.3,3.9,4.5,1.7,0.2,2,2.8,16.4,10.5
2753,Delonte,West,Delonte West,PG-SG,73.5,6' 1.5'',183,78,6' 6'',99.5,8' 3.5'',2004,2003-04,0,3478,Saint Joseph's,20,32,32,33.5,6.6,13,0.51,1.8,4.3,0.412,3.9,4.3,0.892,1.2,4.2,5.4,4.7,1.7,0.2,2.6,1.9,18.9,9.8
101187,Alan,Anderson,Alan Anderson,SG-SF,76.5,6' 4.5'',223.2,81.5,6' 9.5'',104,8' 8'',2005,2004-05,0,2989,Michigan State,22,33,33,26.6,4.5,8.1,0.556,0.8,2,0.385,3.5,3.9,0.877,1.8,3.7,5.6,1.7,1,0.2,1.6,2.7,13.2,0
101106,Andrew,Bogut,Andrew Bogut,C-PF,83,6' 11'',250.6,87,7' 3'',110.5,9' 2.5'',2005,2004-05,0,3661,Utah,20,35,35,35,8,12.9,0.62,0.3,0.7,0.36,4.1,5.9,0.692,3.7,8.5,12.2,2.3,1,1.9,2.7,2.2,20.4,14.9
101198,Will,Bynum,Will Bynum,PG-SG,70.5,5' 10.5'',188.8,75.5,6' 3.5'',93,7' 9'',2005,2004-05,0,2664,Georgia Tech,22,32,25,27.3,4,10.1,0.398,1.5,4.9,0.31,3,3.9,0.762,0.6,1.9,2.5,2.5,1,0,2.4,2.1,12.5,9.3
101109,Raymond,Felton,Raymond Felton,PG,71.5,5' 11.5'',199.4,76.25,6' 4.25'',98,8' 2'',2005,2004-05,0,3104,North Carolina,21,36,35,31.7,4.2,9.2,0.455,1.9,4.4,0.44,2.6,3.7,0.701,0.6,3.7,4.3,6.9,2,0.3,3.6,2,12.9,11.3
101112,Channing,Frye,Channing Frye,PF-C,81.5,6' 9.5'',243.6,86.5,7' 2.5'',110.5,9' 2.5'',2005,2004-05,0,2507,Arizona,22,37,37,31,6.1,11.1,0.554,0.1,0.5,0.176,3.4,4.1,0.83,2.8,4.8,7.6,1.9,0.9,2.3,1.7,2.6,15.8,9.1
101128,Francisco,Garcia,Francisco Garcia,SF-SG,77.75,6' 5.75'',189.6,82.75,6' 10.75'',103,8' 7'',2005,2004-05,0,2855,Louisville,23,38,38,31.9,4.9,11.3,0.437,1.9,5.1,0.366,3.9,4.5,0.877,1.2,3,4.2,3.9,1.7,1.5,2.7,2.9,15.7,8.3
101122,Danny,Granger,Danny Granger,,79.5,6' 7.5'',225.4,85.5,7' 1.5'',103,8' 7'',2005,2004-05,0,3208,New Mexico,22,30,30,30,6.1,11.6,0.524,1.5,3.5,0.433,5.1,6.8,0.755,2.3,6.6,8.9,2.4,2.1,2,2.4,2.4,18.8,13
101236,Charles,Hayes,Charles Hayes,SF-PF,77.5,6' 5.5'',232.4,82,6' 10'',104.5,8' 8.5'',2005,2004-05,0,2852,Kentucky,22,34,34,29.3,4.2,8.3,0.509,0.1,0.3,0.182,2.4,3.3,0.73,3,4.7,7.7,2.3,1.8,1,1.9,2.2,10.9,7.7
101127,Jarrett,Jack,Jarrett Jack,PG,74.5,6' 2.5'',197.6,79.5,6' 7.5'',100,8' 4'',2005,2004-05,0,2664,Georgia Tech,21,32,31,34.1,5.1,10,0.514,1.4,3.3,0.442,3.8,4.4,0.866,0.3,4.6,4.8,4.5,1.8,0.1,3.4,1.7,15.5,11
101135,David,Lee,David Lee,PF,79.75,6' 7.75'',229.5,84,7' 0'',106.5,8' 10.5'',2005,2004-05,0,2635,Florida,22,32,32,28,5,9.5,0.525,0,0.1,0,3.6,5,0.714,2.4,6.6,9,2.2,1.1,0.8,2.7,2.4,13.6,15.9
101249,John,Lucas III,John Lucas III,PG,69.25,5' 9.25'',154.4,72,6' 0'',92,7' 8'',2005,2004-05,0,3392,Oklahoma State,22,33,33,36.1,6.2,13.7,0.451,3,7,0.431,2.3,2.5,0.905,0.6,1.9,2.5,4.1,1.1,0,1.6,1.8,17.7,0
101108,Chris,Paul,Chris Paul,PG,71.75,5' 11.75'',178,76.25,6' 4.25'',93,7' 9'',2005,2004-05,0,3143,Wake Forest,20,32,31,33.4,4.5,9.9,0.451,1.4,3,0.474,4.9,5.8,0.834,0.7,3.8,4.5,6.6,2.4,0,2.8,2.6,15.3,16.7
101179,Ronnie,Price,Ronnie Price,PG,72.75,6' 0.75'',184.8,77.5,6' 5.5'',96.5,8' 0.5'',2005,2004-05,0,3659,Utah Valley,22,28,28,37.2,8.2,19.1,0.427,2.9,8,0.359,5.1,6.4,0.789,0.9,3.3,4.2,3,1.8,0.2,3,2.3,24.3,6.4
201575,Brandon,Rush,Brandon Rush,SG-SF,77,6' 5'',211.4,83.25,6' 11.25'',104.5,8' 8.5'',2005,2007-08,0,2828,Kansas,22,38,30,29.7,4.7,10.9,0.435,2.1,5,0.419,1.8,2.3,0.779,1.5,3.6,5.1,2.1,0.8,0.8,1.8,1.6,13.3,6.7
101142,Ronny,Turiaf,Ronny Turiaf,PF,80,6' 8'',237.8,85.5,7' 1.5'',106.5,8' 10.5'',2005,2004-05,0,3722,Gonzaga,22,31,31,31.2,5.1,10,0.508,0.1,0.2,0.286,5.7,8.4,0.683,2.4,7.1,9.5,1.5,0.4,1.9,2.3,2.7,15.9,7.8
101111,Charlie,Villanueva,Charlie Villanueva,PF-SF,81,6' 9'',236.6,84.25,7' 0.25'',109,9' 1'',2005,2004-05,0,2609,Connecticut,20,31,31,25.8,5.1,9.8,0.521,0.2,0.4,0.5,3.1,4.5,0.688,2.6,5.6,8.3,1.3,0.6,1.8,2.3,2.2,13.6,10
101107,Marvin,Williams,Marvin Williams,PF-SF,79,6' 7'',228.2,87.5,7' 3.5'',108,9' 0'',2005,2004-05,0,3104,North Carolina,19,36,0,22.2,3.5,6.9,0.506,0.5,1.2,0.432,3.8,4.5,0.847,1.8,4.8,6.6,0.7,1.1,0.5,1.6,2.6,11.3,8.7
101114,Deron,Williams,Deron Williams,PG,73.75,6' 1.75'',202.4,78.25,6' 6.25'',98,8' 2'',2005,2004-05,0,2737,Illinois,21,39,39,33.7,4.6,10.5,0.433,1.7,4.8,0.364,1.7,2.5,0.677,0.4,3.3,3.6,6.8,1,0.2,2.8,2.1,12.5,14.6
200746,LaMarcus,Aldridge,LaMarcus Aldridge,PF-C,82,6' 10'',234,88.75,7' 4.75'',110,9' 2'',2006,2005-06,0,3601,Texas,20,37,37,33.7,5.9,10.4,0.569,0,0,,3.2,4.9,0.646,3.6,5.5,9.2,0.5,1.4,2,1.6,2.5,15,14.1
200811,Lou,Amundson,Lou Amundson,PF,79.2,6' 7.2'',221,83.5,6' 11.5'',103.5,8' 7.5'',2006,2005-06,0,3215,Nevada-Las Vegas,23,29,29,28.1,5.5,10.4,0.528,0,0,,3.3,5.8,0.575,3.2,5.4,8.6,1.1,1.1,1.3,2.6,2.8,14.3,5.6
200764,Renaldo,Balkman,Renaldo Balkman,SF-PF,77.25,6' 5.25'',206,85,7' 1'',104.5,8' 8.5'',2006,2005-06,0,3530,South Carolina,21,38,22,25.7,4,6.6,0.608,0.1,0.3,0.308,1.5,2.7,0.538,2.1,4.2,6.3,1.9,1.7,1.3,1.7,2.2,9.6,2.2
200770,Jordan,Farmar,Jordan Farmar,PG,72.75,6' 0.75'',171,75,6' 3'',94.5,7' 10.5'',2006,2005-06,0,2535,California-Los Angeles,19,37,37,30.4,4.6,11.4,0.41,1.7,5.1,0.333,2.5,3.4,0.717,0.6,2,2.6,5.1,1.1,0.2,3.6,1.7,13.5,10.8
200751,Randy,Foye,Randy Foye,SG-PG,74.25,6' 2.25'',212,78.25,6' 6.25'',97,8' 1'',2006,2005-06,0,3502,Villanova,22,33,33,34.7,6.8,16.7,0.411,2.7,7.7,0.35,4.1,5.2,0.791,1.6,4.1,5.8,3,1.4,0.6,2.2,2.2,20.5,7.3
200752,Rudy,Gay,Rudy Gay,SF-PF,79,6' 7'',222,87,7' 3'',107.5,8' 11.5'',2006,2005-06,0,2609,Connecticut,19,33,33,30.8,5.7,12.3,0.461,0.8,2.7,0.318,3.1,4.2,0.732,2,4.4,6.4,2.1,1.8,1.6,2.5,2.3,15.2,12.2
