PLAYER_ID,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
101112,2004-05,00,2507,Arizona,22.0,37,37,31.0,6.1,11.1,0.554,0.1,0.5,0.176,3.4,4.1,0.83,2.8,4.8,7.6,1.9,0.9,2.3,1.7,2.6,15.8
101128,2004-05,00,2855,Louisville,23.0,38,38,31.9,4.9,11.3,0.437,1.9,5.1,0.366,3.9,4.5,0.877,1.2,3.0,4.2,3.9,1.7,1.5,2.7,2.9,15.7
101122,2004-05,00,3208,New Mexico,22.0,30,30,30.0,6.1,11.6,0.524,1.5,3.5,0.433,5.1,6.8,0.755,2.3,6.6,8.9,2.4,2.1,2.0,2.4,2.4,18.8
101236,2004-05,00,2852,Kentucky,22.0,34,34,29.3,4.2,8.3,0.509,0.1,0.3,0.182,2.4,3.3,0.73,3.0,4.7,7.7,2.3,1.8,1.0,1.9,2.2,10.9
101127,2004-05,00,2664,Georgia Tech,21.0,32,31,34.1,5.1,10.0,0.514,1.4,3.3,0.442,3.8,4.4,0.866,0.3,4.6,4.8,4.5,1.8,0.1,3.4,1.7,15.5
101135,2004-05,00,2635,Florida,22.0,32,32,28.0,5.0,9.5,0.525,0.0,0.1,0.0,3.6,5.0,0.714,2.4,6.6,9.0,2.2,1.1,0.8,2.7,2.4,13.6
101249,2004-05,00,3392,Oklahoma State,22.0,33,33,36.1,6.2,13.7,0.451,3.0,7.0,0.431,2.3,2.5,0.905,0.6,1.9,2.5,4.1,1.1,0.0,1.6,1.8,17.7
101108,2004-05,00,3143,Wake Forest,20.0,32,31,33.4,4.5,9.9,0.451,1.4,3.0,0.474,4.9,5.8,0.834,0.7,3.8,4.5,6.6,2.4,0.0,2.8,2.6,15.3
101179,2004-05,00,3659,Utah Valley,22.0,28,28.0,37.2,8.2,19.1,0.427,2.9,8.0,0.359,5.1,6.4,0.789,0.9,3.3,4.2,3.0,1.8,0.2,3.0,2.3,24.3
201575,2007-08,00,2828,Kansas,22.0,38,30,29.7,4.7,10.9,0.435,2.1,5.0,0.419,1.8,2.3,0.779,1.5,3.6,5.1,2.1,0.8,0.8,1.8,1.6,13.3
101142,2004-05,00,3722,Gonzaga,22.0,31,31,31.2,5.1,10.0,0.508,0.1,0.2,0.286,5.7,8.4,0.683,2.4,7.1,9.5,1.5,0.4,1.9,2.3,2.7,15.9
101111,2004-05,00,2609,Connecticut,20.0,31,31,25.8,5.1,9.8,0.521,0.2,0.4,0.5,3.1,4.5,0.688,2.6,5.6,8.3,1.3,0.6,1.8,2.3,2.2,13.6
101107,2004-05,00,3104,North Carolina,19.0,36,0,22.2,3.5,6.9,0.506,0.5,1.2,0.432,3.8,4.5,0.847,1.8,4.8,6.6,0.7,1.1,0.5,1.6,2.6,11.3
101114,2004-05,00,2737,Illinois,21.0,39,39,33.7,4.6,10.5,0.433,1.7,4.8,0.364,1.7,2.5,0.677,0.4,3.3,3.6,6.8,1.0,0.2,2.8,2.1,12.5
200746,2005-06,00,3601,Texas,20.0,37,37,33.7,5.9,10.4,0.569,0.0,0.0,,3.2,4.9,0.646,3.6,5.5,9.2,0.5,1.4,2.0,1.6,2.5,15.0
200811,2005-06,00,3215,Nevada-Las Vegas,23.0,29,29,28.1,5.5,10.4,0.528,0.0,0.0,,3.3,5.8,0.575,3.2,5.4,8.6,1.1,1.1,1.3,2.6,2.8,14.3
200764,2005-06,00,3530,South Carolina,21.0,38,22,25.7,4.0,6.6,0.608,0.1,0.3,0.308,1.5,2.7,0.538,2.1,4.2,6.3,1.9,1.7,1.3,1.7,2.2,9.6
