TEMP_PLAYER_ID_x,PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,DRAFT_CLASS
,201569,Eric,Gordon,Eric Gordon,SG,32.0,40.0,10.81,,3.01,15.0,74.0,6' 2'',75.25,6' 3.25'',222,81.0,6' 9'',99.0,8' 3'',8.2,,,2008
,201863,Kentrell,Gransberry,Kentrell Gransberry,C,24.5,27.5,12.16,,3.32,18.0,78.75,6' 6.75'',79.75,6' 7.75'',290,82.25,6' 10.25'',106.0,8' 10'',17.4,,,2008
,201590,Donte,Greene,Donte Greene,SF-PF,27.5,31.5,11.21,,3.2,2.0,80.25,6' 8.25'',81.0,6' 9'',221,82.0,6' 10'',108.0,9' 0'',7.6,,,2008
,201612,Malik,Hairston,Malik Hairston,SG,30.5,38.0,11.33,,3.08,13.0,76.25,6' 4.25'',77.25,6' 5.25'',204,81.0,6' 9'',103.5,8' 7.5'',6.9,,,2008
,201614,DeVon,Hardin,DeVon Hardin,C-PF,29.5,32.0,11.49,,3.33,20.0,81.5,6' 9.5'',82.75,6' 10.75'',235,87.0,7' 3'',109.5,9' 1.5'',5.8,,,2008
,201613,Richard,Hendrix,Richard Hendrix,PF,26.5,28.0,10.62,,3.27,13.0,78.75,6' 6.75'',80.75,6' 8.75'',250,87.0,7' 3'',108.0,9' 0'',9.2,,,2008
,201588,George,Hill,George Hill,PG,34.0,37.5,12.2,,3.07,9.0,73.25,6' 1.25'',74.5,6' 2.5'',181,81.0,6' 9'',97.5,8' 1.5'',3.0,,,2008
,12254,Kyle,Hines,Kyle Hines,SF-PF,28.5,33.0,12.17,,3.4,16.0,75.75,6' 3.75'',77.25,6' 5.25'',234,85.25,7' 1.25'',104.5,8' 8.5'',3.6,,,2008
,12255,Jiri,Hubalek,Jiri Hubalek,C-PF,20.5,26.0,12.26,,3.54,2.0,81.5,6' 9.5'',83.0,6' 11'',226,82.75,6' 10.75'',109.0,9' 1'',8.8,,,2008
,201991,Lester,Hudson,Lester Hudson,PG,30.5,36.0,11.15,,3.16,12.0,71.75,5' 11.75'',73.0,6' 1'',196,80.75,6' 8.75'',98.5,8' 2.5'',3.4,,,2008
,201629,Othello,Hunter,Othello Hunter,PF-SF,28.0,34.5,11.51,,3.18,7.0,78.5,6' 6.5'',79.5,6' 7.5'',220,87.0,7' 3'',109.5,9' 1.5'',6.4,,,2008
,201616,Darnell,Jackson,Darnell Jackson,PF,27.0,31.0,11.75,,3.26,11.0,79.0,6' 7'',79.75,6' 7.75'',240.5,83.25,6' 11.25'',106.5,8' 10.5'',12.5,,,2008
,12256,Shawn,James,Shawn James,PF,,,,,,6.0,79.75,6' 7.75'',81.0,6' 9'',217,89.0,7' 5'',111.0,9' 3'',9.2,,,2008
,12257,Davon,Jefferson,Davon Jefferson,SF,27.0,32.0,12.02,,3.36,2.0,77.25,6' 5.25'',78.5,6' 6.5'',213,81.5,6' 9.5'',105.0,8' 9'',12.0,,,2008
,12258,Joseph,Jones,Joseph Jones,PF,25.5,31.0,11.61,,3.33,16.0,79.0,6' 7'',80.5,6' 8.5'',240,84.25,7' 0.25'',107.0,8' 11'',12.2,,,2008
,201599,DeAndre,Jordan,DeAndre Jordan,C,26.0,30.5,12.3,,3.27,8.0,81.75,6' 9.75'',83.0,6' 11'',250,90.0,7' 6'',113.5,9' 5.5'',7.5,,,2008
,12253,Sasha,Kaun,Sasha Kaun,C-PF,29.0,32.0,12.06,,3.2,13.0,81.0,6' 9'',82.75,6' 10.75'',247,88.0,7' 4'',110.0,9' 2'',9.6,,,2008
,12260,Marcelus,Kemp,Marcelus Kemp,SG,26.0,30.0,11.79,,3.39,9.0,75.0,6' 3'',76.25,6' 4.25'',221,80.5,6' 8.5'',103.5,8' 7.5'',9.0,,,2008
,12261,Maarty,Leunen,Maarty Leunen,SF,29.5,34.5,11.57,,3.36,14.0,79.25,6' 7.25'',80.5,6' 8.5'',222,80.0,6' 8'',102.5,8' 6.5'',8.9,,,2008
,201848,Longar,Longar,Longar Longar,C,,,,,,14.0,81.0,6' 9'',82.0,6' 10'',212.5,85.25,7' 1.25'',109.5,9' 1.5'',10.6,,,2008
,201572,Brook,Lopez,Brook Lopez,C,27.5,30.5,12.77,,3.57,7.0,83.25,6' 11.25'',84.5,7' 0.5'',258,89.5,7' 5.5'',113.0,9' 5'',6.3,,,2008
,201567,Kevin,Love,Kevin Love,PF,29.5,35.0,11.17,,3.22,18.0,79.75,6' 7.75'',81.5,6' 9.5'',255,83.25,6' 11.25'',106.0,8' 10'',12.9,,,2008
,12262,Aleks,Maric,Aleks Maric,C,23.0,28.0,11.76,,3.35,15.0,81.75,6' 9.75'',82.75,6' 10.75'',273,85.0,7' 1'',109.5,9' 1.5'',10.1,,,2008
,201564,O.J.,Mayo,O.J. Mayo,SG-PG,30.5,41.0,11.04,,3.14,7.0,75.25,6' 3.25'',76.25,6' 4.25'',200,78.0,6' 6'',99.5,8' 3.5'',6.3,,,2008
,201651,James,Mays,James Mays,PF,29.5,35.0,11.23,,3.19,13.0,78.75,6' 6.75'',79.75,6' 7.75'',227,85.75,7' 1.75'',105.0,8' 9'',8.8,,,2008
,201601,Luc,Mbah a Moute,Luc Mbah a Moute,SF,32.0,38.5,11.71,,3.17,11.0,77.75,6' 5.75'',79.5,6' 7.5'',221,86.5,7' 2.5'',103.5,8' 7.5'',7.0,,,2008
,201580,JaVale,McGee,JaVale McGee,C-PF,27.0,32.5,12.75,,3.25,7.0,83.0,6' 11'',84.0,7' 0'',241,90.0,7' 6'',114.5,9' 6.5'',5.3,,,2008
,12263,Drew,Neitzel,Drew Neitzel,PG,25.5,32.0,11.19,,3.2,10.0,71.75,5' 11.75'',72.75,6' 0.75'',175.5,74.5,6' 2.5'',95.0,7' 11'',6.2,,,2008
,201634,DeMarcus,Nelson,DeMarcus Nelson,PG-SG,34.5,38.5,10.54,,3.13,19.0,73.0,6' 1'',74.25,6' 2.25'',198,82.0,6' 10'',98.5,8' 2.5'',4.5,,,2008
,201624,David,Padgett,David Padgett,C-PF,24.0,28.0,12.45,,3.45,17.0,82.25,6' 10.25'',83.5,6' 11.5'',239.5,85.0,7' 1'',109.5,9' 1.5'',9.0,,,2008
,12264,Jeremy,Pargo,Jeremy Pargo,PG,32.0,37.0,10.65,,3.07,7.0,72.5,6' 0.5'',73.5,6' 1.5'',208,77.0,6' 5'',96.0,8' 0'',7.6,,,2008
,12265,Trent,Plaisted,Trent Plaisted,PF,30.5,35.5,11.32,,3.17,14.0,81.25,6' 9.25'',82.25,6' 10.25'',240,82.5,6' 10.5'',105.5,8' 9.5'',11.0,,,2008
,12266,Quan,Prowell,Quan Prowell,SF-PF,32.0,36.0,11.79,,3.14,16.0,78.75,6' 6.75'',79.75,6' 7.75'',225.5,82.5,6' 10.5'',103.5,8' 7.5'',6.5,,,2008
,12267,Shaun,Pruitt,Shaun Pruitt,C-PF,27.0,32.5,11.3,,3.4,10.0,80.25,6' 8.25'',81.0,6' 9'',242.2,85.0,7' 1'',107.5,8' 11.5'',13.8,,,2008
,201576,Anthony,Randolph,Anthony Randolph,PF-SF,29.0,35.0,11.86,,3.26,7.0,81.0,6' 9'',82.25,6' 10.25'',197,87.0,7' 3'',109.0,9' 1'',4.7,,,2008
,12268,Charles,Rhodes,Charles Rhodes,PF,26.5,33.5,11.51,,3.13,14.0,79.25,6' 7.25'',80.25,6' 8.25'',244,83.25,6' 11.25'',107.5,8' 11.5'',10.7,,,2008
,12269,Brian,Roberts,Brian Roberts,PG,31.5,36.5,10.65,,3.05,10.0,72.25,6' 0.25'',73.25,6' 1.25'',173,73.25,6' 1.25'',95.0,7' 11'',3.6,,,2008
,201781,Russell,Robinson,Russell Robinson,PG,25.0,31.5,11.3,,3.15,8.0,72.5,6' 0.5'',73.5,6' 1.5'',196,80.0,6' 8'',100.5,8' 4.5'',7.4,,,2008
,201565,Derrick,Rose,Derrick Rose,PG,34.5,40.0,11.69,,3.05,10.0,73.5,6' 1.5'',74.5,6' 2.5'',196,80.0,6' 8'',98.5,8' 2.5'',4.6,,,2008
,201606,Sean,Singletary,Sean Singletary,PG,26.0,,,,,18.0,71.0,5' 11'',72.0,6' 0'',183.8,76.5,6' 4.5'',95.0,7' 11'',4.2,,,2008
,12271,Ronald,Steele,Ronald Steele,PG,25.0,29.5,11.08,,3.26,5.0,72.25,6' 0.25'',73.5,6' 1.5'',183.5,76.25,6' 4.25'',97.5,8' 1.5'',8.1,,,2008
,201446,Mike,Taylor,Mike Taylor,SG-PG,31.0,39.0,10.98,,3.08,2.0,72.75,6' 0.75'',74.0,6' 2'',166.2,79.25,6' 7.25'',98.0,8' 2'',3.8,,,2008
,12272,Bryce,Taylor,Bryce Taylor,SG,34.5,41.0,11.08,,3.19,16.0,74.75,6' 2.75'',76.25,6' 4.25'',210,81.0,6' 9'',99.5,8' 3.5'',8.3,,,2008
,201872,Mark,Tyndale,Mark Tyndale,SG-SF,27.0,33.5,12.52,,3.14,5.0,74.75,6' 2.75'',75.5,6' 3.5'',217,83.0,6' 11'',103.5,8' 7.5'',6.7,,,2008
,12273,Robert,Vaden,Robert Vaden,SG,26.0,29.5,11.97,,3.4,10.0,75.5,6' 3.5'',76.5,6' 4.5'',199,80.0,6' 8'',101.0,8' 5'',6.2,,,2008
,201622,Deron,Washington,Deron Washington,SF,34.0,40.0,11.03,,3.09,7.0,77.25,6' 5.25'',78.25,6' 6.25'',198.5,81.0,6' 9'',102.5,8' 6.5'',7.2,,,2008
,201603,Sonny,Weems,Sonny Weems,SG-SF,29.0,36.5,10.58,,2.96,12.0,76.0,6' 4'',77.5,6' 5.5'',193,82.0,6' 10'',104.0,8' 8'',4.4,,,2008
,201566,Russell,Westbrook,Russell Westbrook,PG,30.0,36.5,10.98,,3.08,12.0,74.25,6' 2.25'',75.5,6' 3.5'',192,79.75,6' 7.75'',100.0,8' 4'',4.8,,,2008
,199,Reggie,Williams,Reggie Williams,SG,31.5,36.5,11.32,,3.07,15.0,75.25,6' 3.25'',76.0,6' 4'',199,81.25,6' 9.25'',103.0,8' 7'',5.3,,,2008
,202399,Jeff,Adrien,Jeff Adrien,PF,27.5,31.5,11.34,,3.32,16.0,77.25,6' 5.25'',78.5,6' 6.5'',236.2,86.0,7' 2'',107.5,8' 11.5'',7.9,,,2009
,201965,Jeff,Ayres,Jeff Ayres,PF,31.0,35.0,11.98,,3.14,15.0,80.75,6' 8.75'',82.0,6' 10'',239.6,85.0,7' 1'',107.0,8' 11'',5.5,,,2009
,201958,Rodrigue,Beaubois,Rodrigue Beaubois,PG,29.5,39.0,10.49,,3.15,3.0,73.25,6' 1.25'',74.25,6' 2.25'',182.4,81.75,6' 9.75'',100.0,8' 4'',7.9,,,2009
,201971,DeJuan,Blair,DeJuan Blair,PF,26.0,33.0,11.5,,3.45,18.0,77.25,6' 5.25'',78.5,6' 6.5'',276.6,86.0,7' 2'',106.5,8' 10.5'',12.0,,,2009
,201974,Derrick,Brown,Derrick Brown,SF-PF,30.5,35.5,11.26,,3.13,20.0,79.5,6' 7.5'',80.5,6' 8.5'',224.6,86.5,7' 2.5'',107.5,8' 11.5'',8.6,,,2009
,201978,Chase,Budinger,Chase Budinger,SF-SG,29.5,38.5,11.08,,3.24,10.0,78.25,6' 6.25'',79.0,6' 7'',206.4,79.0,6' 7'',101.0,8' 5'',10.0,,,2009
,201956,Omri,Casspi,Omri Casspi,SF,25.5,32.5,11.15,,3.28,2.0,79.75,6' 7.75'',81.25,6' 9.25'',211.2,81.25,6' 9.25'',106.5,8' 10.5'',8.6,,,2009
,12275,Dionte,Christmas,Dionte Christmas,SG,27.0,33.5,10.83,,3.21,3.0,76.25,6' 4.25'',77.5,6' 5.5'',210.8,81.0,6' 9'',102.5,8' 6.5'',7.1,,,2009
,201947,Earl,Clark,Earl Clark,SF-PF,28.5,33.0,11.17,,3.35,5.0,80.5,6' 8.5'',82.25,6' 10.25'',228.4,86.5,7' 2.5'',109.5,9' 1.5'',5.2,,,2009
,201954,Darren,Collison,Darren Collison,PG,30.5,33.5,10.45,,3.1,9.0,72.25,6' 0.25'',73.5,6' 1.5'',166.2,75.0,6' 3'',96.5,8' 0.5'',5.7,,,2009
,201967,Dante,Cunningham,Dante Cunningham,PF,28.0,35.0,11.18,,3.26,18.0,79.0,6' 7'',80.25,6' 8.25'',227.4,83.0,6' 11'',106.5,8' 10.5'',4.8,,,2009
,201939,Stephen,Curry,Stephen Curry,PG-SG,29.5,35.5,11.07,,3.28,10.0,74.0,6' 2'',75.25,6' 3.25'',181,75.5,6' 3.5'',97.0,8' 1'',5.7,,,2009
,201948,Austin,Daye,Austin Daye,SF-PF,25.0,28.0,12.11,,3.55,0.0,81.75,6' 9.75'',82.75,6' 10.75'',191.8,86.75,7' 2.75'',110.0,9' 2'',5.5,,,2009
,201942,DeMar,DeRozan,DeMar DeRozan,SG-SF,29.0,38.5,11.88,,3.31,5.0,77.5,6' 5.5'',78.5,6' 6.5'',211.2,81.0,6' 9'',102.5,8' 6.5'',4.9,,,2009
,201962,Toney,Douglas,Toney Douglas,PG,28.0,32.5,10.63,,3.03,15.0,73.0,6' 1'',74.0,6' 2'',183.4,78.0,6' 6'',97.5,8' 1.5'',5.2,,,2009
,201961,Wayne,Ellington,Wayne Ellington,SG,31.5,38.0,11.14,,3.2,13.0,76.25,6' 4.25'',77.25,6' 5.25'',202.4,78.5,6' 6.5'',100.0,8' 4'',5.5,,,2009
,201936,Tyreke,Evans,Tyreke Evans,PG-SG,28.5,34.0,11.81,,3.17,7.0,76.0,6' 4'',77.25,6' 5.25'',220.6,83.25,6' 11.25'',104.0,8' 8'',7.1,,,2009
,201938,Jonny,Flynn,Jonny Flynn,PG,33.0,40.0,10.86,,3.23,10.0,71.25,5' 11.25'',72.75,6' 0.75'',195.6,76.0,6' 4'',95.5,7' 11.5'',6.3,,,2009
,201959,Taj,Gibson,Taj Gibson,PF,25.5,30.0,11.56,,3.41,12.0,80.5,6' 8.5'',81.75,6' 9.75'',214.4,88.0,7' 4'',109.0,9' 1'',6.6,,,2009
,201980,Danny,Green,Danny Green,SG-SF,29.0,33.0,11.3,,3.3,15.0,77.25,6' 5.25'',78.5,6' 6.5'',208,82.0,6' 10'',103.0,8' 7'',5.6,,,2009
,201933,Blake,Griffin,Blake Griffin,PF,32.0,35.5,10.95,,3.28,22.0,80.5,6' 8.5'',82.0,6' 10'',248.4,83.25,6' 11.25'',105.0,8' 9'',8.2,,,2009
,201946,Tyler,Hansbrough,Tyler Hansbrough,PF,27.5,34.0,11.12,,3.27,18.0,80.25,6' 8.25'',81.5,6' 9.5'',234.2,83.5,6' 11.5'',106.0,8' 10'',8.5,,,2009
,201935,James,Harden,James Harden,SG,31.5,37.0,11.1,,3.13,17.0,76.0,6' 4'',77.25,6' 5.25'',222,82.75,6' 10.75'',103.5,8' 7.5'',10.1,,,2009
,201945,Gerald,Henderson,Gerald Henderson,SG-SF,31.5,35.0,11.17,,3.14,8.0,76.0,6' 4'',77.0,6' 5'',214.6,82.25,6' 10.25'',102.5,8' 6.5'',4.4,,,2009
,12278,Josh,Heytvelt,Josh Heytvelt,PF-C,28.5,34.0,11.67,,3.38,15.0,82.0,6' 10'',83.0,6' 11'',246.2,85.25,7' 1.25'',108.0,9' 0'',10.8,,,2009
,201941,Jordan,Hill,Jordan Hill,PF-C,31.0,35.0,12.23,,3.3,11.0,81.25,6' 9.25'',82.25,6' 10.25'',232.4,85.5,7' 1.5'',108.0,9' 0'',6.0,,,2009
,201950,Jrue,Holiday,Jrue Holiday,PG-SG,28.5,34.0,10.64,,3.21,6.0,75.25,6' 3.25'',76.25,6' 4.25'',199,79.0,6' 7'',100.5,8' 4.5'',6.3,,,2009
,12279,Joe,Ingles,Joe Ingles,SF,26.0,31.0,10.66,,3.3,3.0,79.75,6' 7.75'',80.25,6' 8.25'',209.2,82.25,6' 10.25'',105.0,8' 9'',10.1,,,2009
,201949,James,Johnson,James Johnson,SF-PF,30.5,35.0,11.21,,3.23,18.0,79.0,6' 7'',79.75,6' 7.75'',257.2,84.75,7' 0.75'',105.5,8' 9.5'',12.0,,,2009
