,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
3599,Jameer Nelson,7800000,2010,Point Guard,76,30.5,11.1,20.0,6
3600,Joakim Noah,3128536,2010,Center,48,32.8,12.8,9.0,3
3601,Steve Novak,384766,2010,Power Forward and Small Forward,30,7.2,11.4,32.0,4
3602,Steve Novak,350179,2010,Power Forward and Small Forward,30,7.2,11.4,32.0,4
3603,Dirk Nowitzki,17278618,2010,Power Forward and Center,73,34.3,16.9,9.0,12
3604,Jermaine O'Neal,5765000,2010,Power Forward and Center,24,18.0,5.2,17.0,14
3605,Greg Oden,6760524,2010,Center,0,0.0,0.0,1.0,3
3606,Lamar Odom,8200000,2010,Small Forward and Power Forward,82,32.2,14.3,4.0,11
3607,Emeka Okafor,11495000,2010,Power Forward and Center,72,31.8,10.2,2.0,6
3608,Mehmet Okur,9945000,2010,Power Forward and Center,13,13.0,7.1,37.0,9
3609,Daniel Orton,1028400,2010,Center and Power Forward,0,0.0,0.0,29.0,0
3610,Travis Outlaw,7000000,2010,Power Forward and Small Forward,82,28.8,6.2,23.0,7
3611,Zaza Pachulia,4251250,2010,Center,79,15.7,7.6,42.0,7
3612,Anthony Parker,2855700,2010,Shooting Guard and Small Forward,72,29.0,7.6,21.0,13
3613,Tony Parker,13500000,2010,Point Guard,78,32.4,13.9,28.0,9
3614,Patrick Patterson,1823280,2010,Power Forward,52,16.7,10.8,14.0,0
3615,Chris Paul,14940153,2010,Point Guard,80,36.0,16.9,4.0,5
3616,Sasha Pavlovic,134863,2010,Small Forward and Shooting Guard,31,11.7,3.8,19.0,7
3617,Sasha Pavlovic,67432,2010,Small Forward and Shooting Guard,31,11.7,3.8,19.0,7
3618,Nikola Pekovic,4000000,2010,Center,65,13.7,4.9,31.0,2
3619,Kendrick Perkins,4640208,2010,Center,29,25.6,7.4,27.0,7
3620,Morris Peterson,6665000,2010,Small Forward and Shooting Guard,4,5.7,0.0,21.0,10
3621,Johan Petro,3250000,2010,Center,77,11.6,5.8,25.0,5
3622,Paul Pierce,13876321,2010,Shooting Guard and Small Forward,80,34.7,14.1,10.0,12
3623,Mickael Pietrus,5300000,2010,Point Guard and Small Forward and Shooting Guard,57,19.4,6.7,11.0,7
3624,Dexter Pittman,473604,2010,Center,2,5.6,-2.6,32.0,0
3625,Quincy Pondexter,1073280,2010,Small Forward and Shooting Guard,66,11.1,5.4,26.0,0
3626,James Posey,7148800,2010,Power Forward and Shooting Guard and Small Forward,49,17.1,6.3,18.0,11
3627,Leon Powe,915852,2010,Small Forward and Power Forward and Center,30,10.9,7.2,49.0,4
3628,Tayshaun Prince,11148760,2010,Small Forward,78,32.8,10.1,23.0,8
3629,Joel Przybilla,7405300,2010,Center,36,14.4,4.9,9.0,10
3630,Vladimir Radmanovic,6883800,2010,Small Forward and Power Forward,74,15.8,7.2,12.0,9
3631,Anthony Randolph,1965720,2010,Power Forward and Center,40,14.7,11.0,14.0,2
3632,Zach Randolph,17666666,2010,Power Forward and Center,75,36.3,16.2,19.0,9
3633,Andy Rautins,600000,2010,Shooting Guard,5,4.8,1.5,38.0,0
3634,Michael Redd,18300000,2010,Shooting Guard and Small Forward,10,13.4,6.7,43.0,10
3635,Jason Richardson,14444444,2010,Small Forward and Shooting Guard,80,33.9,9.6,5.0,9
3636,Quentin Richardson,2265000,2010,Shooting Guard and Small Forward,57,16.8,6.5,18.0,10
3637,Luke Ridnour,4000000,2010,Point Guard and Shooting Guard,71,30.4,10.4,14.0,7
3638,Nate Robinson,4200000,2010,Point Guard,59,17.2,6.9,21.0,5
3639,Rajon Rondo,9090911,2010,Point Guard,68,37.2,13.1,21.0,4
3640,Derrick Rose,5546160,2010,Point Guard,81,37.4,16.5,1.0,2
3641,Brandon Roy,13520500,2010,Shooting Guard,47,27.9,9.5,6.0,4
3642,Brandon Rush,2069049,2010,Shooting Guard and Small Forward,67,26.2,7.4,13.0,2
3643,John Salmons,8000000,2010,Shooting Guard and Small Forward and Point Guard,73,35.0,9.7,26.0,8
3644,Larry Sanders,1731960,2010,Power Forward and Center,60,14.5,6.0,15.0,0
3645,Brian Scalabrine,1229255,2010,Power Forward and Center,18,4.9,2.2,34.0,9
3646,Luis Scola,7775378,2010,Power Forward,74,32.6,12.5,55.0,8
3647,Thabo Sefolosha,3250000,2010,Small Forward and Shooting Guard,79,25.9,6.9,13.0,4
3648,Kevin Seraphin,1563120,2010,Power Forward and Center,58,10.9,2.4,17.0,0
3649,Ramon Sessions,3964320,2010,Point Guard and Shooting Guard,81,26.3,13.5,56.0,3
3650,Bobby Simmons,71951,2010,Shooting Guard and Power Forward and Small Forward,2,7.8,-5.8,41.0,9
3651,Brian Skinner,270436,2010,Center and Power Forward,2,2.9,0.0,22.0,12
3652,Craig Smith,2300000,2010,Power Forward,48,12.2,10.1,36.0,4
3653,Jason Smith,2187913,2010,Center and Power Forward,77,14.3,6.7,20.0,3
3654,Josh Smith,11600000,2010,Small Forward and Power Forward,77,34.3,13.5,17.0,6
3655,Darius Songaila,4818000,2010,Center and Power Forward,10,7.1,-1.1,49.0,8
3656,Marreese Speights,1773960,2010,Power Forward and Center,64,11.5,10.1,16.0,2
3657,Tiago Splitter,3400000,2010,Center and Power Forward,60,12.3,9.6,28.0,3
3658,Lance Stephenson,750000,2010,Small Forward and Shooting Guard,12,9.6,5.7,40.0,0
3659,DeShawn Stevenson,4151786,2010,Small Forward and Shooting Guard,72,16.1,6.1,23.0,10
3660,Peja Stojakovic,14896000,2010,Small Forward,33,18.7,9.8,14.0,14
3661,Peja Stojakovic,636320,2010,Small Forward,33,18.7,9.8,14.0,14
3662,Amar'e Stoudemire,16486611,2010,Center and Power Forward,78,36.8,13.7,9.0,8
3663,Rodney Stuckey,2767126,2010,Point Guard and Shooting Guard,70,31.2,11.2,15.0,3
3664,DaJuan Summers,762195,2010,Power Forward and Small Forward,22,9.0,0.7,35.0,1
3665,Pape Sy,473604,2010,Small Forward,3,7.0,5.8,53.0,0
3666,Jermaine Taylor,780871,2010,Shooting Guard,34,14.2,6.9,32.0,1
3667,Jeff Teague,1476840,2010,Point Guard,70,13.8,9.9,19.0,1
3668,Sebastian Telfair,2700000,2010,Point Guard,37,19.2,6.8,13.0,6
3669,Jason Terry,10650000,2010,Point Guard and Shooting Guard,82,31.3,10.5,10.0,11
3670,Hasheem Thabeet,4793280,2010,Center,47,7.9,0.4,2.0,1
3671,Etan Thomas,1223166,2010,Power Forward and Center,13,6.3,9.3,12.0,10
3672,Tyrus Thomas,6611570,2010,Power Forward and Center,41,21.0,12.4,4.0,4
3673,Jason Thompson,2178000,2010,Power Forward and Center,75,23.3,8.9,12.0,2
3674,Al Thornton,2814196,2010,Small Forward and Power Forward,71,19.5,7.7,14.0,3
3675,Jamaal Tinsley,5500000,2010,Point Guard,0,0.0,0.0,27.0,9
3676,Ronny Turiaf,4000000,2010,Center,64,17.8,7.9,37.0,5
3677,Hedo Turkoglu,10215850,2010,Power Forward and Small Forward,81,31.4,9.4,16.0,10
3678,Evan Turner,4602720,2010,Small Forward and Shooting Guard and Point Guard,78,23.0,8.7,2.0,0
3679,Ekpe Udoh,3065040,2010,Power Forward and Center,58,17.8,3.9,6.0,0
3680,Beno Udrih,6478600,2010,Shooting Guard and Point Guard,79,34.6,11.4,28.0,6
3681,Anderson Varejao,7281818,2010,Power Forward and Center,31,32.1,10.7,30.0,6
3682,Greivis Vasquez,1035960,2010,Point Guard and Shooting Guard,70,12.3,7.2,28.0,0
3683,Charlie Villanueva,7020000,2010,Power Forward,76,21.9,9.9,7.0,5
3684,Sasha Vujacic,5475113,2010,Point Guard and Shooting Guard,67,24.6,8.0,27.0,6
3685,Dwyane Wade,14200000,2010,Point Guard and Shooting Guard,76,37.1,16.4,5.0,7
3686,Von Wafer,915852,2010,Small Forward and Shooting Guard,58,9.5,9.0,39.0,5
3687,Henry Walker,854389,2010,Small Forward and Shooting Guard,61,12.9,7.9,47.0,2
3688,John Wall,5144280,2010,Point Guard,69,37.8,11.7,1.0,0
3689,Gerald Wallace,10500000,2010,Small Forward and Power Forward,71,37.9,11.7,25.0,9
3690,Luke Walton,5260000,2010,Power Forward and Small Forward,54,9.0,4.9,32.0,7
3691,Willie Warren,500000,2010,Point Guard,19,7.0,8.2,54.0,0
3692,Hakim Warrick,4250000,2010,Power Forward,80,17.7,11.1,19.0,5
3693,Earl Watson,1229255,2010,Point Guard,80,19.6,7.5,39.0,9
3694,Martell Webster,4800000,2010,Small Forward,46,23.8,7.8,6.0,5
3695,Sonny Weems,854389,2010,Shooting Guard and Small Forward,59,24.0,6.6,39.0,2
3696,David West,8287500,2010,Small Forward and Center and Power Forward,70,35.0,13.8,18.0,7
3697,Delonte West,1069509,2010,Point Guard and Shooting Guard,24,18.9,10.5,24.0,6
3698,Russell Westbrook,4017720,2010,Point Guard,82,34.7,15.4,4.0,2
3699,Hassan Whiteside,730437,2010,Center,1,1.7,-200.0,33.0,0
3700,Chris Wilcox,3000000,2010,Center and Power Forward,57,17.5,10.0,8.0,8
3701,Deron Williams,14940152,2010,Point Guard,65,37.9,14.4,3.0,5
3702,Elliot Williams,1254720,2010,Point Guard and Shooting Guard,0,0.0,0.0,22.0,0
3703,Jason Williams,1352181,2010,Point Guard,27,10.9,8.1,7.0,12
3704,Jason Williams,524964,2010,Point Guard,27,10.9,8.1,7.0,12
3705,Lou Williams,5000000,2010,Shooting Guard and Point Guard,75,23.3,12.2,45.0,5
3706,Marvin Williams,6712500,2010,Power Forward and Small Forward,65,28.7,9.5,2.0,5
3707,Mo Williams,9300000,2010,Point Guard and Shooting Guard,58,30.8,9.5,47.0,7
3708,Shawne Williams,885210,2010,Small Forward and Power Forward and Shooting Guard,64,20.7,7.2,17.0,4
3709,Shelden Williams,915852,2010,Center and Power Forward,59,15.4,7.9,5.0,4
3710,Terrence Williams,2214480,2010,Small Forward and Shooting Guard,21,13.8,7.4,11.0,1
3711,Metta World Peace,6322320,2010,Small Forward,82,29.4,6.1,16.0,11
3712,Antoine Wright,992680,2010,Shooting Guard and Small Forward,7,4.5,-7.2,15.0,5
3713,Brandan Wright,3398072,2010,Center and Power Forward,37,10.2,10.8,8.0,3
3714,Dorell Wright,3500000,2010,Small Forward,82,38.4,9.3,19.0,6
3715,Julian Wright,2858057,2010,Small Forward,52,14.7,7.9,13.0,3
3716,Nick Young,2630503,2010,Shooting Guard,64,31.8,8.9,16.0,3
3717,Sam Young,886000,2010,Shooting Guard and Small Forward,78,20.2,8.0,36.0,1
3718,Thaddeus Young,2901241,2010,Power Forward,82,26.0,12.3,12.0,3
3719,Arron Afflalo,7562500,2011,Shooting Guard and Small Forward,62,33.7,9.1,27.0,4
3720,Solomon Alabi,830000,2011,Center,14,8.7,11.3,50.0,1
3721,Cole Aldrich,2286000,2011,Center,26,6.7,12.3,11.0,1
3722,LaMarcus Aldridge,12372000,2011,Power Forward and Center,55,36.3,14.8,2.0,5
3723,Lavoy Allen,473604,2011,Power Forward and Center,41,15.2,9.8,50.0,0
3724,Ray Allen,10000000,2011,Shooting Guard,46,34.0,10.3,5.0,15
3725,Tony Allen,3150000,2011,Shooting Guard and Small Forward and Point Guard,58,26.3,9.3,25.0,7
3726,Al-Farouq Aminu,2755560,2011,Power Forward and Small Forward,66,22.4,7.5,8.0,1
3727,James Anderson,1463520,2011,Small Forward and Shooting Guard,51,11.8,5.5,20.0,1
3728,Ryan Anderson,2244601,2011,Power Forward,61,32.2,12.3,21.0,3
3729,Carmelo Anthony,18518574,2011,Small Forward and Power Forward,55,34.1,14.6,3.0,8
3730,Gilbert Arenas,19269307,2011,Point Guard,17,12.4,4.9,30.0,10
3731,Trevor Ariza,6790640,2011,Small Forward and Shooting Guard,41,32.9,10.1,43.0,7
3732,Darrell Arthur,2027119,2011,Small Forward and Power Forward,0,0.0,0.0,27.0,3
3733,Omer Asik,1857500,2011,Center,66,14.7,10.0,36.0,3
3734,D.J. Augustin,3236470,2011,Point Guard,48,29.3,10.0,9.0,3
3735,Jeff Ayres,1500000,2011,Center and Power Forward,20,5.3,7.6,31.0,2
3736,Luke Babbitt,1768800,2011,Small Forward and Power Forward,40,13.4,7.5,16.0,1
3737,Renaldo Balkman,1675000,2011,Small Forward and Power Forward,14,8.2,10.3,20.0,5
3738,Leandro Barbosa,7600000,2011,Point Guard and Shooting Guard,64,21.6,8.8,28.0,8
3739,Andrea Bargnani,9250000,2011,Power Forward and Center,31,33.3,12.9,1.0,5
3740,Matt Barnes,1906200,2011,Small Forward and Power Forward,63,22.9,10.0,45.0,9
3741,Brandon Bass,4250000,2011,Power Forward and Center,59,31.7,10.1,33.0,6
3742,Tony Battie,1352181,2011,Center and Power Forward,27,10.9,7.2,5.0,14
3743,Shane Battier,3000000,2011,Small Forward and Shooting Guard,65,23.1,6.1,6.0,10
3744,Nicolas Batum,2155365,2011,Small Forward and Shooting Guard,59,30.4,10.7,25.0,3
3745,Jerryd Bayless,3042280,2011,Point Guard and Shooting Guard,31,22.7,12.3,11.0,3
3746,Michael Beasley,6262347,2011,Power Forward and Small Forward,47,23.1,9.4,2.0,3
3747,Rodrigue Beaubois,1236720,2011,Point Guard,53,21.7,10.2,25.0,2
3748,Marco Belinelli,3377604,2011,Shooting Guard and Small Forward,66,29.8,7.6,18.0,4
3749,Mike Bibby,1352181,2011,Point Guard,39,14.3,6.0,2.0,13
3750,Andris Biedrins,9000000,2011,Center,47,15.7,4.5,11.0,7
3751,Chauncey Billups,12199968,2011,Point Guard and Shooting Guard,20,30.3,10.6,3.0,14
3752,Chauncey Billups,2000032,2011,Point Guard and Shooting Guard,20,30.3,10.6,3.0,14
3753,Bismack Biyombo,2798040,2011,Center,63,23.1,6.6,7.0,0
3754,DeJuan Blair,986000,2011,Center and Power Forward,64,21.3,9.8,37.0,2
3755,Steve Blake,4000000,2011,Point Guard,53,23.3,6.2,38.0,8
3756,Andray Blatche,6442083,2011,Center and Power Forward,26,24.1,7.0,49.0,6
3757,Eric Bledsoe,1596360,2011,Point Guard,40,11.6,7.0,18.0,1
3758,Keith Bogans,848266,2011,Small Forward and Shooting Guard,5,18.7,0.2,43.0,8
3759,Andrew Bogut,12000000,2011,Power Forward and Center,12,30.3,12.1,1.0,6
3760,Matt Bonner,3315000,2011,Power Forward and Center,65,20.4,9.0,45.0,8
3761,Trevor Booker,1294920,2011,Power Forward,50,25.2,9.7,23.0,1
3762,Carlos Boozer,13500000,2011,Center and Power Forward,66,29.5,14.6,34.0,9
3763,Chris Bosh,16022500,2011,Power Forward and Center,57,35.2,13.6,4.0,8
3764,Craig Brackins,1404960,2011,Power Forward,14,6.3,2.6,21.0,1
3765,Avery Bradley,1524480,2011,Point Guard and Shooting Guard,64,21.4,7.6,19.0,1
3766,Elton Brand,17059727,2011,Power Forward and Center,60,28.9,11.3,1.0,12
3767,Corey Brewer,3059000,2011,Shooting Guard and Small Forward,59,21.8,7.6,7.0,4
3768,Ronnie Brewer,4710000,2011,Shooting Guard and Small Forward,66,24.8,8.5,14.0,5
3769,Jon Brockman,1000000,2011,Center and Power Forward,35,6.8,4.1,38.0,2
3770,MarShon Brooks,1110120,2011,Shooting Guard,56,29.4,7.8,25.0,0
3771,Derrick Brown,854389,2011,Small Forward,65,22.2,9.6,40.0,2
3772,Kwame Brown,6750000,2011,Center and Power Forward,9,20.8,8.0,1.0,10
3773,Shannon Brown,3500000,2011,Shooting Guard,59,23.7,8.6,25.0,5
3774,Kobe Bryant,25244493,2011,Shooting Guard and Small Forward,58,38.5,14.3,13.0,15
3775,Chase Budinger,854389,2011,Small Forward,58,22.4,10.7,44.0,2
3776,Alec Burks,2020200,2011,Shooting Guard,59,15.9,8.1,12.0,0
3777,Caron Butler,8000000,2011,Small Forward and Shooting Guard,63,29.7,7.4,10.0,9
3778,Jimmy Butler,1020960,2011,Shooting Guard and Small Forward,42,8.5,8.4,30.0,0
3779,Rasual Butler,1229255,2011,Shooting Guard and Small Forward,34,13.3,3.9,52.0,9
3780,Andrew Bynum,14900000,2011,Center,60,35.2,16.5,10.0,6
3781,Marcus Camby,11227250,2011,Center and Power Forward,59,22.9,12.2,2.0,15
3782,Brian Cardinal,1352181,2011,Power Forward and Small Forward,44,6.3,1.5,44.0,11
3783,DeMarre Carroll,544331,2011,Small Forward and Power Forward,24,14.5,5.5,27.0,2
3784,DeMarre Carroll,289382,2011,Small Forward and Power Forward,24,14.5,5.5,27.0,2
3785,Vince Carter,18300000,2011,Small Forward and Shooting Guard,61,25.3,8.7,5.0,13
3786,Vince Carter,3000000,2011,Small Forward and Shooting Guard,61,25.3,8.7,5.0,13
3787,Omri Casspi,1341960,2011,Small Forward and Power Forward,65,20.6,7.1,23.0,2
3788,Mario Chalmers,4000000,2011,Point Guard,64,28.5,8.5,34.0,3
3789,Tyson Chandler,13107837,2011,Center and Power Forward,62,33.2,13.6,2.0,10
3790,Josh Childress,6000000,2011,Shooting Guard and Small Forward,34,14.5,8.4,6.0,7
3791,Earl Clark,1160000,2011,Power Forward and Small Forward,45,12.4,5.0,14.0,2
3792,Norris Cole,1035960,2011,Point Guard,65,19.4,4.9,28.0,0
3793,Jason Collins,1352181,2011,Power Forward and Center,30,10.3,2.1,18.0,10
3794,Darren Collison,1455960,2011,Point Guard,60,31.3,10.0,21.0,2
3795,Nick Collison,3272997,2011,Power Forward and Center,63,20.7,7.2,12.0,8
3796,Mike Conley,6611571,2011,Point Guard,62,35.1,11.5,4.0,4
3797,Brian Cook,1223166,2011,Power Forward and Center,32,8.6,3.9,24.0,8
3798,Daequan Cook,3341558,2011,Small Forward and Shooting Guard,57,17.4,5.8,21.0,4
3799,DeMarcus Cousins,3627720,2011,Center,64,30.5,12.7,5.0,1
3800,Jamal Crawford,5000000,2011,Shooting Guard and Point Guard,60,26.9,10.3,8.0,11
3801,Jordan Crawford,1120440,2011,Shooting Guard and Point Guard,64,27.4,8.7,27.0,1
3802,Dante Cunningham,2000000,2011,Power Forward and Small Forward,64,17.6,10.5,33.0,2
3803,Eddy Curry,1229255,2011,Power Forward and Center,14,5.9,-0.4,4.0,10
3804,Stephen Curry,3117120,2011,Point Guard,26,28.1,13.4,7.0,2
3805,Samuel Dalembert,7000000,2011,Center,65,22.3,11.2,26.0,10
3806,Erick Dampier,850522,2011,Center,15,5.6,3.6,10.0,15
3807,Baron Davis,13900000,2011,Point Guard,29,20.5,7.4,3.0,12
3808,Baron Davis,1352181,2011,Point Guard,29,20.5,7.4,3.0,12
3809,Ed Davis,2063040,2011,Center and Power Forward,66,23.2,11.2,13.0,1
3810,Glen Davis,6300000,2011,Power Forward and Center,61,23.4,9.0,35.0,4
3811,Austin Daye,1929600,2011,Small Forward,41,14.7,4.5,15.0,2
3812,Carlos Delfino,3500000,2011,Shooting Guard and Small Forward,54,28.5,7.9,25.0,8
3813,Luol Deng,12325000,2011,Power Forward and Small Forward,54,39.4,10.4,7.0,7
3814,DeMar DeRozan,2625000,2011,Shooting Guard,63,35.0,8.1,9.0,2
3815,Boris Diaw,9000000,2011,Power Forward and Shooting Guard,57,25.0,8.5,21.0,8
3816,Ike Diogu,64028,2011,Power Forward,2,7.1,-1.4,9.0,6
3817,DeSagana Diop,6925400,2011,Power Forward and Center,27,12.0,5.4,8.0,10
3818,Keyon Dooling,2246400,2011,Shooting Guard and Point Guard,46,14.4,4.9,10.0,11
3819,Toney Douglas,1145640,2011,Point Guard and Shooting Guard,38,17.3,4.9,29.0,2
3820,Goran Dragic,2108000,2011,Point Guard and Shooting Guard,66,26.5,11.5,45.0,3
3821,Jared Dudley,4250000,2011,Small Forward and Power Forward and Shooting Guard,65,31.1,9.4,22.0,4
3822,Chris Duhon,3500000,2011,Point Guard,63,19.5,6.8,38.0,7
3823,Tim Duncan,21164619,2011,Center and Power Forward,58,28.2,16.3,1.0,14
3824,Mike Dunleavy,3750000,2011,Small Forward and Shooting Guard and Power Forward,55,26.3,12.1,3.0,9
3825,Kevin Durant,15506632,2011,Power Forward and Small Forward and Shooting Guard,66,38.6,18.6,2.0,4
3826,Devin Ebanks,762195,2011,Shooting Guard and Small Forward,24,16.5,4.0,43.0,1
3827,Wayne Ellington,1154040,2011,Shooting Guard,51,19.1,6.4,28.0,2
3828,Monta Ellis,11000000,2011,Shooting Guard,58,36.6,11.2,40.0,6
3829,Francisco Elson,305792,2011,Center,5,3.3,4.1,41.0,12
3830,Andre Emmett,61433,2011,Shooting Guard and Small Forward,6,7.5,9.2,35.0,7
3831,Semih Erden,762195,2011,Center,28,11.9,5.2,60.0,3
3832,Jeremy Evans,762195,2011,Power Forward and Small Forward,29,7.5,11.5,55.0,1
3833,Tyreke Evans,4151640,2011,Small Forward and Shooting Guard and Point Guard,63,34.3,10.7,4.0,2
3834,Christian Eyenga,1097520,2011,Small Forward,7,14.6,2.6,30.0,2
3835,Kenneth Faried,1254720,2011,Center and Power Forward,46,22.5,13.0,22.0,0
3836,Jordan Farmar,4000000,2011,Point Guard,39,21.3,11.8,26.0,5
3837,Derrick Favors,4443360,2011,Center and Power Forward,65,21.2,11.6,3.0,1
3838,Raymond Felton,7560000,2011,Point Guard and Shooting Guard,60,31.8,9.1,5.0,6
3839,Rudy Fernandez,2180443,2011,Shooting Guard,31,22.9,8.9,24.0,4
3840,Landry Fields,762195,2011,Shooting Guard and Small Forward,66,28.7,9.4,39.0,1
3841,Derek Fisher,3400000,2011,Point Guard and Shooting Guard,63,23.9,5.4,24.0,15
3842,Jonny Flynn,3414720,2011,Point Guard,29,14.3,7.4,6.0,2
3843,T.J. Ford,1146337,2011,Point Guard,14,13.6,7.8,8.0,8
3844,Jeff Foster,3000000,2011,Center,11,12.8,7.9,21.0,12
3845,Randy Foye,4250000,2011,Point Guard and Shooting Guard,65,25.9,8.2,7.0,5
3846,Jimmer Fredette,2238360,2011,Shooting Guard and Point Guard,61,18.6,6.1,10.0,0
3847,Channing Frye,5600000,2011,Center and Power Forward,64,26.1,9.2,8.0,6
3848,Danilo Gallinari,4190182,2011,Small Forward and Shooting Guard and Power Forward,43,31.4,11.1,6.0,3
3849,Francisco Garcia,5800000,2011,Small Forward and Shooting Guard,49,16.3,6.6,23.0,6
3850,Marc Gasol,12922194,2011,Center,65,36.5,13.5,48.0,4
3851,Pau Gasol,18714150,2011,Center and Power Forward,65,37.4,14.8,3.0,10
3852,Rudy Gay,15032144,2011,Power Forward and Small Forward,65,37.3,11.9,8.0,5
3853,Paul George,2406240,2011,Small Forward and Shooting Guard,66,29.7,11.8,10.0,1
3854,Daniel Gibson,4403834,2011,Shooting Guard and Point Guard,35,26.2,6.7,42.0,5
3855,Taj Gibson,1195680,2011,Power Forward,63,20.4,11.9,26.0,2
3856,Manu Ginobili,12981038,2011,Shooting Guard,34,23.3,14.8,57.0,12
3857,Ryan Gomes,4000000,2011,Power Forward and Small Forward,32,13.3,3.1,50.0,6
3858,Drew Gooden,6226200,2011,Small Forward and Center and Power Forward,56,26.2,11.5,4.0,9
3859,Ben Gordon,11600000,2011,Shooting Guard,52,26.9,9.0,3.0,7
3860,Eric Gordon,3831184,2011,Shooting Guard and Point Guard,9,34.5,11.3,7.0,3
3861,Marcin Gortat,6790640,2011,Power Forward and Center,66,32.0,13.6,57.0,6
3862,Andrew Goudelock,473604,2011,Point Guard and Shooting Guard,40,10.5,5.2,46.0,0
3863,Danny Granger,12015904,2011,Small Forward,62,33.3,11.7,17.0,6
3864,Aaron Gray,2500000,2011,Center,49,16.6,7.8,49.0,4
3865,Danny Green,854389,2011,Shooting Guard,66,23.1,9.6,46.0,2
3866,Gerald Green,443181,2011,Shooting Guard and Small Forward,31,25.2,9.6,18.0,6
3867,Gerald Green,73818,2011,Shooting Guard and Small Forward,31,25.2,9.6,18.0,6
3868,Willie Green,1223166,2011,Shooting Guard,53,17.4,8.8,41.0,8
3869,Donte Greene,2015896,2011,Small Forward and Power Forward,53,14.7,7.6,28.0,3
3870,Blake Griffin,5731080,2011,Power Forward,66,36.2,15.6,1.0,2
3871,Jordan Hamilton,1073286,2011,Small Forward,26,9.9,10.2,26.0,0
3872,Richard Hamilton,12500000,2011,Small Forward and Shooting Guard,28,24.9,8.1,7.0,12
3873,Richard Hamilton,5000000,2011,Small Forward and Shooting Guard,28,24.9,8.1,7.0,12
3874,Tyler Hansbrough,2138040,2011,Power Forward,66,21.8,9.3,13.0,2
3875,Luke Harangody,762195,2011,Power Forward,21,11.0,6.8,52.0,1
3876,James Harden,4604760,2011,Shooting Guard and Point Guard,62,31.4,13.9,3.0,2
3877,Justin Harper,473604,2011,Power Forward,14,6.0,0.8,32.0,0
3878,Josh Harrellson,473604,2011,Power Forward and Center,37,14.6,10.0,45.0,0
3879,Al Harrington,6226200,2011,Power Forward and Center and Small Forward,64,27.5,10.4,25.0,13
3880,Devin Harris,9319000,2011,Point Guard and Shooting Guard,63,27.6,9.7,5.0,7
3881,Tobias Harris,1418160,2011,Power Forward and Small Forward,42,11.4,9.7,19.0,0
3882,Spencer Hawes,4051024,2011,Power Forward and Center,37,24.9,12.3,10.0,4
3883,Gordon Hayward,2532960,2011,Power Forward and Small Forward,66,30.5,9.8,9.0,1
3884,Lazar Hayward,1097520,2011,Small Forward,26,5.4,0.6,30.0,1
3885,Brendan Haywood,7624500,2011,Center,54,21.2,7.1,20.0,10
3886,Gerald Henderson,2250600,2011,Shooting Guard,55,33.3,9.0,12.0,2
3887,Xavier Henry,2171640,2011,Small Forward and Shooting Guard,45,16.9,6.1,12.0,1
3888,Roy Hibbert,2588590,2011,Center,65,29.8,12.2,17.0,3
3889,Nene,13000000,2011,Power Forward and Center,39,28.5,13.4,7.0,9
3890,George Hill,2086360,2011,Point Guard,50,25.5,11.2,26.0,3
3891,Jordan Hill,2855760,2011,Center and Power Forward,39,14.1,9.5,8.0,2
3892,Kirk Hinrich,8100000,2011,Point Guard and Shooting Guard,48,25.8,6.1,7.0,8
3893,Darington Hobson,245884,2011,Shooting Guard,5,7.8,-1.1,37.0,1
3894,Jrue Holiday,1741440,2011,Point Guard and Shooting Guard,65,33.8,9.6,17.0,2
3895,Ryan Hollins,2483333,2011,Center and Power Forward,39,13.4,2.1,50.0,5
3896,Tyler Honeycutt,775000,2011,Small Forward,15,5.9,6.4,35.0,0
3897,Al Horford,12000000,2011,Center,11,31.6,13.0,3.0,4
3898,Dwight Howard,18091770,2011,Power Forward and Center,54,38.3,17.2,1.0,7
3899,Josh Howard,2150000,2011,Small Forward,43,23.0,6.7,29.0,8
3900,Larry Hughes,414443,2011,Shooting Guard and Point Guard and Small Forward,9,12.6,-5.3,8.0,13
3901,Kris Humphries,8000000,2011,Small Forward and Power Forward,62,34.9,12.2,14.0,7
3902,Serge Ibaka,1288200,2011,Power Forward and Center,66,27.1,11.0,24.0,3
3903,Andre Iguodala,13531750,2011,Small Forward and Shooting Guard,62,35.6,13.4,9.0,7
3904,Ersan Ilyasova,2541000,2011,Power Forward,60,27.6,13.6,36.0,6
3905,Kyrie Irving,5144280,2011,Point Guard,51,30.5,13.8,1.0,0
3906,Royal Ivey,1200000,2011,Shooting Guard and Point Guard,34,10.4,1.7,37.0,7
3907,Jarrett Jack,5000000,2011,Shooting Guard and Point Guard,45,34.0,13.5,22.0,6
3908,Reggie Jackson,1156320,2011,Point Guard,45,11.1,6.7,24.0,0
3909,Stephen Jackson,9256500,2011,Small Forward and Shooting Guard and Power Forward,47,25.8,7.4,42.0,14
3910,Damion James,1243080,2011,Small Forward,7,24.4,4.8,24.0,1
3911,LeBron James,16022500,2011,Shooting Guard and Small Forward and Power Forward,62,37.5,22.0,1.0,8
3912,Antawn Jamison,15076715,2011,Power Forward and Small Forward,65,33.1,9.3,4.0,13
3913,Al Jefferson,14000000,2011,Power Forward and Center,61,34.0,15.4,15.0,7
