,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
137,Vince Carter,1760000,1998,Small Forward and Shooting Guard,50,35.2,12.8,5.0,0
138,Kelvin Cato,1149000,1998,Center and Power Forward,43,12.7,8.3,15.0,1
139,Keon Clark,1000000,1998,Power Forward and Center,28,14.6,6.6,13.0,0
140,Chris Crawford,350000,1998,Power Forward,42,18.6,4.4,50.0,1
141,Austin Croshere,1340000,1998,Power Forward,27,9.3,7.3,12.0,1
142,Erick Dampier,1538000,1998,Center,50,28.3,6.4,10.0,2
143,Antonio Daniels,2472000,1998,Shooting Guard and Point Guard,47,13.1,13.4,4.0,1
144,Ben Davis,425000,1998,Power Forward,8,2.5,13.5,43.0,2
145,Ricky Davis,680000,1998,Small Forward and Shooting Guard,46,12.2,8.4,21.0,0
146,Tony Delk,1131000,1998,Shooting Guard and Point Guard,36,17.5,7.7,16.0,2
147,Michael Dickerson,949600,1998,Shooting Guard,50,31.1,6.3,14.0,0
148,Michael Doleac,1050000,1998,Center,49,15.9,7.0,12.0,0
149,Bryce Drew,857000,1998,Point Guard,34,13.0,3.0,16.0,0
150,Tim Duncan,3413000,1998,Center and Power Forward,50,39.3,17.0,1.0,1
151,Brian Evans,686780,1998,Small Forward,16,8.9,10.6,27.0,2
152,Jamie Feick,425000,1998,Power Forward and Center,28,30.4,9.6,48.0,2
153,Derek Fisher,795000,1998,Point Guard and Shooting Guard,50,22.6,8.6,24.0,2
154,Danny Fortson,1485000,1998,Center and Power Forward,50,28.4,11.9,10.0,1
155,Adonal Foyle,1701000,1998,Center,44,13.9,8.1,8.0,1
156,Todd Fuller,1461000,1998,Center,42,11.1,6.0,11.0,2
157,Pat Garrity,740000,1998,Power Forward and Small Forward,39,13.8,7.3,19.0,0
158,Paul Grant,903240,1998,Center,6,2.2,-8.0,20.0,1
159,Ed Gray,832440,1998,Shooting Guard,30,11.2,-0.3,22.0,1
160,Matt Harpring,900000,1998,Shooting Guard and Small Forward,50,22.3,8.2,15.0,0
161,Al Harrington,543000,1998,Power Forward and Center and Small Forward,21,7.6,0.8,25.0,0
162,Cedric Henderson,250000,1998,Small Forward,50,30.4,6.7,44.0,1
163,J.R. Henderson,287500,1998,Small Forward,31,10.7,4.7,56.0,0
164,Mark Hendrickson,425000,1998,Power Forward,22,17.9,6.7,31.0,2
165,Jerald Honeycutt,300000,1998,Power Forward,16,6.3,-0.6,38.0,1
166,Larry Hughes,1330000,1998,Shooting Guard and Point Guard and Small Forward,50,19.8,10.9,8.0,0
167,Allen Iverson,3537000,1998,Shooting Guard and Point Guard,48,41.5,15.4,1.0,2
168,Bobby Jackson,799200,1998,Shooting Guard and Point Guard,50,18.8,11.2,23.0,1
